accident,where,year,date,time,whether,state
負傷,神戸市中央区,2017,111,20,晴,乾燥
負傷,神戸市中央区,2017,112,21,晴,乾燥
負傷,神戸市中央区,2017,114,17,晴,乾燥
負傷,神戸市中央区,2017,116,18,雨,湿潤
負傷,神戸市中央区,2017,110,15,晴,乾燥
負傷,神戸市中央区,2017,116,18,雨,湿潤
負傷,神戸市中央区,2017,118,19,晴,乾燥
負傷,神戸市中央区,2017,119,12,晴,乾燥
負傷,神戸市中央区,2017,121,18,晴,乾燥
負傷,神戸市中央区,2017,120,18,晴,乾燥
負傷,神戸市中央区,2017,114,8,晴,湿潤
負傷,神戸市中央区,2017,117,17,曇,乾燥
負傷,神戸市中央区,2017,125,6,晴,乾燥
負傷,神戸市中央区,2017,129,20,雨,湿潤
負傷,神戸市中央区,2017,130,17,曇,湿潤
負傷,神戸市中央区,2017,131,8,晴,乾燥
負傷,神戸市中央区,2017,131,17,晴,乾燥
負傷,神戸市中央区,2017,131,17,晴,乾燥
負傷,神戸市中央区,2017,122,10,晴,乾燥
負傷,神戸市中央区,2017,203,16,晴,乾燥
負傷,神戸市中央区,2017,204,18,晴,乾燥
負傷,神戸市中央区,2017,204,20,晴,乾燥
負傷,神戸市中央区,2017,207,8,晴,乾燥
負傷,神戸市中央区,2017,208,7,晴,乾燥
負傷,神戸市中央区,2017,208,6,晴,乾燥
負傷,神戸市中央区,2017,208,10,晴,乾燥
負傷,神戸市中央区,2017,208,22,晴,乾燥
負傷,神戸市中央区,2017,204,16,晴,乾燥
負傷,神戸市中央区,2017,209,22,晴,乾燥
負傷,神戸市中央区,2017,210,2,晴,乾燥
負傷,神戸市中央区,2017,210,7,晴,乾燥
負傷,神戸市中央区,2017,214,10,晴,乾燥
負傷,神戸市中央区,2017,215,7,晴,乾燥
負傷,神戸市中央区,2017,215,8,晴,乾燥
負傷,神戸市中央区,2017,215,14,晴,乾燥
負傷,神戸市中央区,2017,215,15,晴,乾燥
負傷,神戸市中央区,2017,216,7,晴,乾燥
負傷,神戸市中央区,2017,122,19,晴,乾燥
負傷,神戸市中央区,2017,217,19,晴,乾燥
負傷,神戸市中央区,2017,218,8,晴,乾燥
負傷,神戸市中央区,2017,220,11,曇,乾燥
負傷,神戸市中央区,2017,221,8,雪,湿潤
負傷,神戸市中央区,2017,221,13,晴,乾燥
負傷,神戸市中央区,2017,222,20,雨,湿潤
負傷,神戸市中央区,2017,222,10,晴,乾燥
負傷,神戸市中央区,2017,223,17,晴,乾燥
負傷,神戸市中央区,2017,224,13,晴,乾燥
負傷,神戸市中央区,2017,226,2,晴,乾燥
負傷,神戸市中央区,2017,226,11,晴,乾燥
負傷,神戸市中央区,2017,227,12,晴,乾燥
負傷,神戸市中央区,2017,227,13,晴,乾燥
負傷,神戸市中央区,2017,227,13,晴,乾燥
負傷,神戸市中央区,2017,227,15,晴,乾燥
負傷,神戸市中央区,2017,228,9,晴,乾燥
負傷,神戸市中央区,2017,303,17,晴,乾燥
負傷,神戸市中央区,2017,304,21,晴,乾燥
負傷,神戸市中央区,2017,222,9,晴,乾燥
負傷,神戸市中央区,2017,226,14,晴,乾燥
負傷,神戸市中央区,2017,307,20,晴,乾燥
負傷,神戸市中央区,2017,307,21,晴,乾燥
負傷,神戸市中央区,2017,311,7,晴,乾燥
負傷,神戸市中央区,2017,313,10,雨,湿潤
負傷,神戸市中央区,2017,313,14,晴,乾燥
負傷,神戸市中央区,2017,315,12,晴,乾燥
負傷,神戸市中央区,2017,315,18,晴,乾燥
負傷,神戸市中央区,2017,316,18,晴,乾燥
負傷,神戸市中央区,2017,318,10,晴,乾燥
負傷,神戸市中央区,2017,318,21,晴,乾燥
負傷,神戸市中央区,2017,324,15,晴,乾燥
負傷,神戸市中央区,2017,318,9,晴,乾燥
負傷,神戸市中央区,2017,328,11,晴,乾燥
負傷,神戸市中央区,2017,329,9,晴,乾燥
負傷,神戸市中央区,2017,324,10,晴,乾燥
負傷,神戸市中央区,2017,309,9,晴,乾燥
負傷,神戸市中央区,2017,331,9,晴,乾燥
負傷,神戸市中央区,2017,331,11,雨,湿潤
負傷,神戸市中央区,2017,330,18,晴,乾燥
負傷,神戸市中央区,2017,401,9,晴,乾燥
負傷,神戸市中央区,2017,401,12,晴,乾燥
負傷,神戸市中央区,2017,402,9,晴,乾燥
負傷,神戸市中央区,2017,330,8,晴,乾燥
負傷,神戸市中央区,2017,405,12,晴,乾燥
負傷,神戸市中央区,2017,405,22,晴,乾燥
負傷,神戸市中央区,2017,406,7,曇,乾燥
負傷,神戸市中央区,2017,406,19,雨,湿潤
負傷,神戸市中央区,2017,404,21,晴,乾燥
負傷,神戸市中央区,2017,403,13,晴,乾燥
負傷,神戸市中央区,2017,408,22,晴,湿潤
負傷,神戸市中央区,2017,409,9,曇,乾燥
負傷,神戸市中央区,2017,410,2,晴,乾燥
負傷,神戸市中央区,2017,413,9,晴,乾燥
負傷,神戸市中央区,2017,413,6,晴,乾燥
負傷,神戸市中央区,2017,414,14,晴,乾燥
負傷,神戸市中央区,2017,411,15,雨,湿潤
負傷,神戸市中央区,2017,416,17,晴,乾燥
負傷,神戸市中央区,2017,417,20,雨,湿潤
負傷,神戸市中央区,2017,418,12,晴,乾燥
負傷,神戸市中央区,2017,421,9,晴,乾燥
負傷,神戸市中央区,2017,422,8,晴,乾燥
負傷,神戸市中央区,2017,422,7,晴,乾燥
負傷,神戸市中央区,2017,411,23,晴,乾燥
負傷,神戸市中央区,2017,423,19,晴,乾燥
負傷,神戸市中央区,2017,423,20,晴,乾燥
負傷,神戸市中央区,2017,423,23,晴,乾燥
負傷,神戸市中央区,2017,424,13,晴,乾燥
負傷,神戸市中央区,2017,424,18,晴,乾燥
負傷,神戸市中央区,2017,426,15,晴,乾燥
負傷,神戸市中央区,2017,428,19,晴,乾燥
負傷,神戸市中央区,2017,430,9,晴,乾燥
負傷,神戸市中央区,2017,502,21,晴,乾燥
負傷,神戸市中央区,2017,503,9,晴,乾燥
負傷,神戸市中央区,2017,216,18,晴,乾燥
負傷,神戸市中央区,2017,504,6,晴,乾燥
負傷,神戸市中央区,2017,506,12,曇,湿潤
負傷,神戸市中央区,2017,508,19,晴,乾燥
負傷,神戸市中央区,2017,422,9,晴,乾燥
負傷,神戸市中央区,2017,511,13,晴,乾燥
負傷,神戸市中央区,2017,516,20,晴,乾燥
負傷,神戸市中央区,2017,517,7,晴,乾燥
負傷,神戸市中央区,2017,518,16,晴,乾燥
負傷,神戸市中央区,2017,519,8,晴,乾燥
負傷,神戸市中央区,2017,519,19,晴,乾燥
負傷,神戸市中央区,2017,521,11,晴,乾燥
負傷,神戸市中央区,2017,523,16,晴,乾燥
負傷,神戸市中央区,2017,528,9,晴,乾燥
負傷,神戸市中央区,2017,422,12,晴,乾燥
負傷,神戸市中央区,2017,528,17,晴,乾燥
負傷,神戸市中央区,2017,520,8,晴,乾燥
負傷,神戸市中央区,2017,401,15,晴,乾燥
負傷,神戸市中央区,2017,601,10,晴,乾燥
負傷,神戸市中央区,2017,602,9,晴,乾燥
負傷,神戸市中央区,2017,602,17,晴,乾燥
負傷,神戸市中央区,2017,607,10,雨,湿潤
負傷,神戸市中央区,2017,607,15,雨,湿潤
負傷,神戸市中央区,2017,606,19,晴,乾燥
負傷,神戸市中央区,2017,611,17,晴,乾燥
負傷,神戸市中央区,2017,609,16,晴,乾燥
負傷,神戸市中央区,2017,612,8,晴,乾燥
負傷,神戸市中央区,2017,612,15,晴,乾燥
負傷,神戸市中央区,2017,612,8,晴,乾燥
負傷,神戸市中央区,2017,614,22,晴,乾燥
負傷,神戸市中央区,2017,615,8,晴,乾燥
負傷,神戸市中央区,2017,617,12,晴,乾燥
負傷,神戸市中央区,2017,617,10,晴,乾燥
負傷,神戸市中央区,2017,608,16,晴,乾燥
負傷,神戸市中央区,2017,618,16,晴,乾燥
負傷,神戸市中央区,2017,619,8,晴,乾燥
負傷,神戸市中央区,2017,530,15,曇,乾燥
負傷,神戸市中央区,2017,531,13,晴,乾燥
負傷,神戸市中央区,2017,611,20,晴,乾燥
負傷,神戸市中央区,2017,621,19,晴,乾燥
負傷,神戸市中央区,2017,622,9,晴,乾燥
負傷,神戸市中央区,2017,622,20,晴,乾燥
負傷,神戸市中央区,2017,623,8,晴,乾燥
負傷,神戸市中央区,2017,623,11,晴,乾燥
負傷,神戸市中央区,2017,609,17,晴,乾燥
負傷,神戸市中央区,2017,610,14,晴,乾燥
負傷,神戸市中央区,2017,603,0,晴,乾燥
負傷,神戸市中央区,2017,608,20,晴,乾燥
負傷,神戸市中央区,2017,625,11,雨,湿潤
負傷,神戸市中央区,2017,626,10,晴,乾燥
負傷,神戸市中央区,2017,626,16,晴,乾燥
負傷,神戸市中央区,2017,627,9,晴,乾燥
負傷,神戸市中央区,2017,627,20,雨,湿潤
負傷,神戸市中央区,2017,628,4,晴,湿潤
負傷,神戸市中央区,2017,628,19,晴,乾燥
負傷,神戸市中央区,2017,628,20,晴,乾燥
負傷,神戸市中央区,2017,621,16,晴,乾燥
負傷,神戸市中央区,2017,701,10,晴,乾燥
負傷,神戸市中央区,2017,703,8,晴,乾燥
負傷,神戸市中央区,2017,611,14,曇,乾燥
負傷,神戸市中央区,2017,701,5,曇,乾燥
負傷,神戸市中央区,2017,704,11,雨,湿潤
負傷,神戸市中央区,2017,705,10,雨,湿潤
負傷,神戸市中央区,2017,705,20,曇,乾燥
負傷,神戸市中央区,2017,706,9,晴,乾燥
負傷,神戸市中央区,2017,708,15,晴,乾燥
負傷,神戸市中央区,2017,710,9,晴,乾燥
負傷,神戸市中央区,2017,712,18,晴,乾燥
負傷,神戸市中央区,2017,310,16,晴,乾燥
負傷,神戸市中央区,2017,711,13,晴,乾燥
負傷,神戸市中央区,2017,714,17,晴,乾燥
負傷,神戸市中央区,2017,716,19,晴,乾燥
負傷,神戸市中央区,2017,717,16,晴,乾燥
負傷,神戸市中央区,2017,717,20,晴,乾燥
負傷,神戸市中央区,2017,720,14,晴,乾燥
負傷,神戸市中央区,2017,720,18,晴,乾燥
負傷,神戸市中央区,2017,721,8,晴,乾燥
負傷,神戸市中央区,2017,718,11,雨,湿潤
負傷,神戸市中央区,2017,724,9,晴,乾燥
負傷,神戸市中央区,2017,724,11,晴,乾燥
負傷,神戸市中央区,2017,727,0,晴,乾燥
負傷,神戸市中央区,2017,727,8,晴,乾燥
負傷,神戸市中央区,2017,728,15,晴,乾燥
負傷,神戸市中央区,2017,728,14,晴,乾燥
負傷,神戸市中央区,2017,729,10,晴,乾燥
負傷,神戸市中央区,2017,729,16,晴,乾燥
負傷,神戸市中央区,2017,731,9,晴,乾燥
負傷,神戸市中央区,2017,731,21,晴,乾燥
負傷,神戸市中央区,2017,801,17,晴,乾燥
負傷,神戸市中央区,2017,801,16,晴,乾燥
負傷,神戸市中央区,2017,804,9,晴,乾燥
負傷,神戸市中央区,2017,804,16,雨,湿潤
負傷,神戸市中央区,2017,807,18,雨,湿潤
負傷,神戸市中央区,2017,807,18,雨,湿潤
負傷,神戸市中央区,2017,809,13,晴,乾燥
負傷,神戸市中央区,2017,809,17,晴,乾燥
負傷,神戸市中央区,2017,813,11,晴,乾燥
負傷,神戸市中央区,2017,817,10,晴,乾燥
負傷,神戸市中央区,2017,817,12,晴,乾燥
負傷,神戸市中央区,2017,720,12,晴,乾燥
負傷,神戸市中央区,2017,819,16,晴,乾燥
負傷,神戸市中央区,2017,821,10,晴,乾燥
負傷,神戸市中央区,2017,823,12,晴,乾燥
負傷,神戸市中央区,2017,820,9,晴,乾燥
負傷,神戸市中央区,2017,726,9,曇,乾燥
負傷,神戸市中央区,2017,824,16,晴,乾燥
負傷,神戸市中央区,2017,824,16,晴,乾燥
負傷,神戸市中央区,2017,824,17,晴,乾燥
負傷,神戸市中央区,2017,828,8,晴,乾燥
負傷,神戸市中央区,2017,829,8,晴,乾燥
負傷,神戸市中央区,2017,829,21,晴,乾燥
負傷,神戸市中央区,2017,830,6,晴,乾燥
負傷,神戸市中央区,2017,830,6,晴,乾燥
負傷,神戸市中央区,2017,830,8,晴,乾燥
負傷,神戸市中央区,2017,831,13,晴,乾燥
負傷,神戸市中央区,2017,831,19,晴,乾燥
負傷,神戸市中央区,2017,901,13,晴,乾燥
負傷,神戸市中央区,2017,902,9,晴,乾燥
負傷,神戸市中央区,2017,903,8,晴,乾燥
負傷,神戸市中央区,2017,903,17,晴,乾燥
負傷,神戸市中央区,2017,904,11,晴,乾燥
負傷,神戸市中央区,2017,906,11,曇,湿潤
負傷,神戸市中央区,2017,906,8,晴,湿潤
負傷,神戸市中央区,2017,809,15,晴,乾燥
負傷,神戸市中央区,2017,907,14,雨,湿潤
負傷,神戸市中央区,2017,907,17,曇,乾燥
負傷,神戸市中央区,2017,908,11,晴,乾燥
負傷,神戸市中央区,2017,908,23,晴,乾燥
負傷,神戸市中央区,2017,910,9,晴,乾燥
負傷,神戸市中央区,2017,910,21,晴,乾燥
負傷,神戸市中央区,2017,912,9,晴,湿潤
負傷,神戸市中央区,2017,912,18,晴,乾燥
負傷,神戸市中央区,2017,913,17,晴,乾燥
負傷,神戸市中央区,2017,913,16,晴,乾燥
負傷,神戸市中央区,2017,914,18,晴,乾燥
負傷,神戸市中央区,2017,909,14,晴,乾燥
負傷,神戸市中央区,2017,915,16,晴,乾燥
負傷,神戸市中央区,2017,915,18,晴,乾燥
負傷,神戸市中央区,2017,916,14,雨,湿潤
負傷,神戸市中央区,2017,905,16,晴,乾燥
負傷,神戸市中央区,2017,910,8,晴,乾燥
負傷,神戸市中央区,2017,913,15,晴,乾燥
負傷,神戸市中央区,2017,918,9,晴,乾燥
負傷,神戸市中央区,2017,918,8,晴,乾燥
負傷,神戸市中央区,2017,919,1,晴,乾燥
負傷,神戸市中央区,2017,920,12,晴,乾燥
負傷,神戸市中央区,2017,914,21,晴,乾燥
負傷,神戸市中央区,2017,920,21,曇,乾燥
負傷,神戸市中央区,2017,921,1,曇,乾燥
負傷,神戸市中央区,2017,921,8,晴,乾燥
負傷,神戸市中央区,2017,921,9,晴,乾燥
負傷,神戸市中央区,2017,923,8,晴,乾燥
負傷,神戸市中央区,2017,923,15,晴,乾燥
負傷,神戸市中央区,2017,924,15,晴,乾燥
負傷,神戸市中央区,2017,926,12,晴,乾燥
負傷,神戸市中央区,2017,926,15,晴,乾燥
負傷,神戸市中央区,2017,927,11,曇,乾燥
負傷,神戸市中央区,2017,928,8,曇,乾燥
負傷,神戸市中央区,2017,929,11,晴,乾燥
負傷,神戸市中央区,2017,804,17,晴,乾燥
負傷,神戸市中央区,2017,929,22,晴,乾燥
負傷,神戸市中央区,2017,930,15,晴,乾燥
負傷,神戸市中央区,2017,1001,4,晴,乾燥
負傷,神戸市中央区,2017,1001,8,晴,乾燥
負傷,神戸市中央区,2017,1001,14,晴,乾燥
負傷,神戸市中央区,2017,1002,10,雨,湿潤
負傷,神戸市中央区,2017,1004,8,晴,乾燥
負傷,神戸市中央区,2017,1005,13,晴,乾燥
負傷,神戸市中央区,2017,1005,18,晴,乾燥
負傷,神戸市中央区,2017,1005,18,晴,乾燥
負傷,神戸市中央区,2017,1006,5,晴,乾燥
負傷,神戸市中央区,2017,1007,10,雨,湿潤
負傷,神戸市中央区,2017,1008,9,晴,乾燥
負傷,神戸市中央区,2017,1008,18,晴,乾燥
負傷,神戸市中央区,2017,1009,11,晴,乾燥
負傷,神戸市中央区,2017,1010,7,晴,乾燥
負傷,神戸市中央区,2017,1010,15,晴,乾燥
負傷,神戸市中央区,2017,1009,22,晴,乾燥
負傷,神戸市中央区,2017,1011,9,晴,乾燥
負傷,神戸市中央区,2017,1012,9,曇,乾燥
負傷,神戸市中央区,2017,1013,7,曇,乾燥
負傷,神戸市中央区,2017,1013,12,雨,湿潤
負傷,神戸市中央区,2017,1013,13,晴,湿潤
負傷,神戸市中央区,2017,1015,17,雨,湿潤
負傷,神戸市中央区,2017,1017,9,雨,湿潤
負傷,神戸市中央区,2017,1018,13,曇,乾燥
負傷,神戸市中央区,2017,1020,11,曇,湿潤
負傷,神戸市中央区,2017,1020,15,曇,湿潤
負傷,神戸市中央区,2017,1021,14,雨,湿潤
負傷,神戸市中央区,2017,1022,21,雨,湿潤
負傷,神戸市中央区,2017,1023,18,晴,乾燥
負傷,神戸市中央区,2017,1024,11,晴,乾燥
負傷,神戸市中央区,2017,1024,11,晴,乾燥
負傷,神戸市中央区,2017,1024,19,曇,乾燥
負傷,神戸市中央区,2017,1024,19,曇,湿潤
負傷,神戸市中央区,2017,1027,11,晴,乾燥
負傷,神戸市中央区,2017,1029,20,曇,湿潤
負傷,神戸市中央区,2017,1030,8,晴,乾燥
負傷,神戸市中央区,2017,1031,6,晴,乾燥
負傷,神戸市中央区,2017,1031,11,晴,乾燥
負傷,神戸市中央区,2017,1027,18,晴,乾燥
負傷,神戸市中央区,2017,1031,19,晴,乾燥
負傷,神戸市中央区,2017,1031,18,晴,乾燥
負傷,神戸市中央区,2017,1101,10,晴,乾燥
負傷,神戸市中央区,2017,1101,17,晴,乾燥
負傷,神戸市中央区,2017,1102,17,晴,乾燥
負傷,神戸市中央区,2017,1028,6,雨,湿潤
負傷,神戸市中央区,2017,1104,15,晴,乾燥
負傷,神戸市中央区,2017,1105,10,晴,乾燥
負傷,神戸市中央区,2017,1106,11,晴,乾燥
負傷,神戸市中央区,2017,1107,10,晴,乾燥
負傷,神戸市中央区,2017,1107,13,晴,乾燥
負傷,神戸市中央区,2017,1108,10,雨,湿潤
負傷,神戸市中央区,2017,1108,14,雨,湿潤
負傷,神戸市中央区,2017,1109,17,晴,乾燥
負傷,神戸市中央区,2017,1110,14,晴,乾燥
負傷,神戸市中央区,2017,1111,15,曇,乾燥
負傷,神戸市中央区,2017,1115,16,晴,乾燥
負傷,神戸市中央区,2017,1115,16,晴,乾燥
負傷,神戸市中央区,2017,1110,13,晴,乾燥
負傷,神戸市中央区,2017,1116,11,晴,乾燥
負傷,神戸市中央区,2017,1117,16,晴,乾燥
負傷,神戸市中央区,2017,1118,11,曇,湿潤
負傷,神戸市中央区,2017,1102,10,晴,乾燥
負傷,神戸市中央区,2017,1122,22,晴,湿潤
負傷,神戸市中央区,2017,1124,10,晴,乾燥
負傷,神戸市中央区,2017,1126,5,晴,乾燥
負傷,神戸市中央区,2017,1125,16,晴,乾燥
負傷,神戸市中央区,2017,1126,13,曇,乾燥
負傷,神戸市中央区,2017,1127,12,晴,乾燥
負傷,神戸市中央区,2017,1128,20,晴,乾燥
負傷,神戸市中央区,2017,1125,11,晴,湿潤
負傷,神戸市中央区,2017,1129,22,曇,湿潤
負傷,神戸市中央区,2017,1201,11,晴,乾燥
負傷,神戸市中央区,2017,1202,18,晴,乾燥
負傷,神戸市中央区,2017,1202,17,晴,乾燥
負傷,神戸市中央区,2017,1202,17,晴,乾燥
負傷,神戸市中央区,2017,1204,15,雨,湿潤
負傷,神戸市中央区,2017,1204,18,曇,湿潤
負傷,神戸市中央区,2017,1206,18,晴,乾燥
負傷,神戸市中央区,2017,1206,20,晴,乾燥
負傷,神戸市中央区,2017,1208,16,曇,乾燥
負傷,神戸市中央区,2017,1202,8,晴,乾燥
負傷,神戸市中央区,2017,1210,8,晴,乾燥
負傷,神戸市中央区,2017,1205,19,晴,乾燥
負傷,神戸市中央区,2017,1211,6,晴,乾燥
負傷,神戸市中央区,2017,1211,13,曇,乾燥
負傷,神戸市中央区,2017,1211,16,曇,乾燥
負傷,神戸市中央区,2017,1211,16,曇,乾燥
負傷,神戸市中央区,2017,1214,16,晴,乾燥
負傷,神戸市中央区,2017,1215,19,晴,乾燥
負傷,神戸市中央区,2017,1216,14,曇,乾燥
負傷,神戸市中央区,2017,1217,18,晴,乾燥
負傷,神戸市中央区,2017,1203,19,晴,乾燥
負傷,神戸市中央区,2017,1219,8,晴,乾燥
負傷,神戸市中央区,2017,1221,9,晴,乾燥
負傷,神戸市中央区,2017,1223,8,晴,乾燥
負傷,神戸市中央区,2017,1223,13,晴,乾燥
負傷,神戸市中央区,2017,1225,20,晴,乾燥
負傷,神戸市中央区,2017,1226,19,晴,乾燥
負傷,神戸市中央区,2017,1109,1,曇,乾燥
負傷,神戸市中央区,2017,1227,10,晴,乾燥
負傷,神戸市中央区,2017,1216,12,曇,乾燥
負傷,神戸市中央区,2017,1231,10,曇,乾燥
負傷,神戸市中央区,2017,106,13,晴,乾燥
負傷,神戸市中央区,2017,104,18,晴,乾燥
負傷,神戸市中央区,2017,107,12,晴,乾燥
負傷,神戸市中央区,2017,111,1,晴,乾燥
負傷,神戸市中央区,2017,111,13,晴,乾燥
負傷,神戸市中央区,2017,111,19,晴,乾燥
負傷,神戸市中央区,2017,111,20,晴,乾燥
負傷,神戸市中央区,2017,112,10,晴,乾燥
負傷,神戸市中央区,2017,113,18,晴,乾燥
負傷,神戸市中央区,2017,117,9,晴,乾燥
負傷,神戸市中央区,2017,119,11,晴,乾燥
負傷,神戸市中央区,2017,119,16,晴,乾燥
負傷,神戸市中央区,2017,119,19,晴,乾燥
負傷,神戸市中央区,2017,120,7,晴,乾燥
負傷,神戸市中央区,2017,120,17,曇,乾燥
負傷,神戸市中央区,2017,121,13,晴,乾燥
負傷,神戸市中央区,2017,116,8,晴,乾燥
負傷,神戸市中央区,2017,123,15,雪,湿潤
負傷,神戸市中央区,2017,124,10,晴,乾燥
負傷,神戸市中央区,2017,124,15,曇,乾燥
負傷,神戸市中央区,2017,127,19,雨,湿潤
負傷,神戸市中央区,2017,128,8,晴,乾燥
負傷,神戸市中央区,2017,129,12,晴,乾燥
負傷,神戸市中央区,2017,125,13,晴,乾燥
負傷,神戸市中央区,2017,130,7,雨,湿潤
負傷,神戸市中央区,2017,130,18,晴,乾燥
負傷,神戸市中央区,2017,131,17,晴,乾燥
負傷,神戸市中央区,2017,201,10,晴,乾燥
負傷,神戸市中央区,2017,201,19,晴,乾燥
負傷,神戸市中央区,2017,202,0,雨,湿潤
負傷,神戸市中央区,2017,202,9,曇,乾燥
負傷,神戸市中央区,2017,202,8,晴,乾燥
負傷,神戸市中央区,2017,206,10,晴,乾燥
負傷,神戸市中央区,2017,207,23,晴,乾燥
負傷,神戸市中央区,2017,208,8,晴,乾燥
負傷,神戸市中央区,2017,208,1,晴,乾燥
負傷,神戸市中央区,2017,119,9,晴,乾燥
負傷,神戸市中央区,2017,211,17,曇,乾燥
負傷,神戸市中央区,2017,203,15,晴,乾燥
負傷,神戸市中央区,2017,214,9,曇,乾燥
負傷,神戸市中央区,2017,215,15,晴,乾燥
負傷,神戸市中央区,2017,216,5,晴,乾燥
負傷,神戸市中央区,2017,216,8,晴,乾燥
負傷,神戸市中央区,2017,216,16,晴,乾燥
負傷,神戸市中央区,2017,216,19,晴,乾燥
負傷,神戸市中央区,2017,216,20,晴,乾燥
負傷,神戸市中央区,2017,217,10,雨,湿潤
負傷,神戸市中央区,2017,213,19,晴,乾燥
負傷,神戸市中央区,2017,218,18,晴,乾燥
負傷,神戸市中央区,2017,219,16,晴,乾燥
負傷,神戸市中央区,2017,220,5,晴,乾燥
負傷,神戸市中央区,2017,221,10,晴,乾燥
負傷,神戸市中央区,2017,221,9,晴,乾燥
負傷,神戸市中央区,2017,221,17,晴,乾燥
負傷,神戸市中央区,2017,223,12,曇,乾燥
負傷,神戸市中央区,2017,224,11,曇,乾燥
負傷,神戸市中央区,2017,224,8,晴,乾燥
負傷,神戸市中央区,2017,221,0,晴,乾燥
負傷,神戸市中央区,2017,226,21,晴,乾燥
負傷,神戸市中央区,2017,227,18,晴,乾燥
負傷,神戸市中央区,2017,228,12,晴,乾燥
負傷,神戸市中央区,2017,228,12,晴,乾燥
負傷,神戸市中央区,2017,228,17,晴,乾燥
負傷,神戸市中央区,2017,228,23,晴,乾燥
負傷,神戸市中央区,2017,301,20,晴,乾燥
負傷,神戸市中央区,2017,301,22,晴,乾燥
負傷,神戸市中央区,2017,302,12,晴,乾燥
負傷,神戸市中央区,2017,303,3,晴,乾燥
負傷,神戸市中央区,2017,308,16,晴,乾燥
負傷,神戸市中央区,2017,308,18,晴,乾燥
