accident,where,date,time,whether,state
負傷,神戸市中央区,2017/11/13,15,晴,乾燥
負傷,神戸市中央区,2017/10/17,10,雨,湿潤
負傷,神戸市中央区,2017/11/24,18,晴,乾燥
負傷,神戸市中央区,2017/12/8,17,雨,湿潤
負傷,神戸市中央区,2017/12/25,9,曇,乾燥
負傷,神戸市中央区,2017/1/3,12,晴,乾燥
負傷,神戸市中央区,2017/1/3,20,晴,乾燥
負傷,神戸市中央区,2016/12/29,21,晴,乾燥
負傷,神戸市中央区,2017/1/10,5,晴,乾燥
負傷,神戸市中央区,2017/1/10,17,晴,乾燥
負傷,神戸市中央区,2017/1/10,21,晴,乾燥
負傷,神戸市中央区,2017/1/11,20,晴,乾燥
負傷,神戸市中央区,2017/1/12,21,晴,乾燥
負傷,神戸市中央区,2017/1/14,17,晴,乾燥
負傷,神戸市中央区,2017/1/16,18,雨,湿潤
負傷,神戸市中央区,2017/1/10,15,晴,乾燥
負傷,神戸市中央区,2017/1/16,18,雨,湿潤
負傷,神戸市中央区,2017/1/18,19,晴,乾燥
負傷,神戸市中央区,2017/1/19,12,晴,乾燥
負傷,神戸市中央区,2017/1/21,18,晴,乾燥
負傷,神戸市中央区,2017/1/20,18,晴,乾燥
負傷,神戸市中央区,2017/1/14,8,晴,湿潤
負傷,神戸市中央区,2017/1/17,17,曇,乾燥
負傷,神戸市中央区,2017/1/25,6,晴,乾燥
負傷,神戸市中央区,2017/1/29,20,雨,湿潤
負傷,神戸市中央区,2017/1/30,17,曇,湿潤
負傷,神戸市中央区,2017/1/31,8,晴,乾燥
負傷,神戸市中央区,2017/1/31,17,晴,乾燥
負傷,神戸市中央区,2017/1/31,17,晴,乾燥
負傷,神戸市中央区,2017/1/22,10,晴,乾燥
負傷,神戸市中央区,2017/2/3,16,晴,乾燥
負傷,神戸市中央区,2017/2/4,18,晴,乾燥
負傷,神戸市中央区,2017/2/4,20,晴,乾燥
負傷,神戸市中央区,2017/2/7,8,晴,乾燥
負傷,神戸市中央区,2017/2/8,7,晴,乾燥
負傷,神戸市中央区,2017/2/8,6,晴,乾燥
負傷,神戸市中央区,2017/2/8,10,晴,乾燥
負傷,神戸市中央区,2017/2/8,22,晴,乾燥
負傷,神戸市中央区,2017/2/4,16,晴,乾燥
負傷,神戸市中央区,2017/2/9,22,晴,乾燥
負傷,神戸市中央区,2017/2/10,2,晴,乾燥
負傷,神戸市中央区,2017/2/10,7,晴,乾燥
負傷,神戸市中央区,2017/2/14,10,晴,乾燥
負傷,神戸市中央区,2017/2/15,7,晴,乾燥
負傷,神戸市中央区,2017/2/15,8,晴,乾燥
負傷,神戸市中央区,2017/2/15,14,晴,乾燥
負傷,神戸市中央区,2017/2/15,15,晴,乾燥
負傷,神戸市中央区,2017/2/16,7,晴,乾燥
負傷,神戸市中央区,2017/1/22,19,晴,乾燥
負傷,神戸市中央区,2017/2/17,19,晴,乾燥
負傷,神戸市中央区,2017/2/18,8,晴,乾燥
負傷,神戸市中央区,2017/2/20,11,曇,乾燥
負傷,神戸市中央区,2017/2/21,8,雪,湿潤
負傷,神戸市中央区,2017/2/21,13,晴,乾燥
負傷,神戸市中央区,2017/2/22,20,雨,湿潤
負傷,神戸市中央区,2017/2/22,10,晴,乾燥
負傷,神戸市中央区,2017/2/23,17,晴,乾燥
負傷,神戸市中央区,2017/2/24,13,晴,乾燥
負傷,神戸市中央区,2017/2/26,2,晴,乾燥
負傷,神戸市中央区,2017/2/26,11,晴,乾燥
負傷,神戸市中央区,2017/2/27,12,晴,乾燥
負傷,神戸市中央区,2017/2/27,13,晴,乾燥
負傷,神戸市中央区,2017/2/27,13,晴,乾燥
負傷,神戸市中央区,2017/2/27,15,晴,乾燥
負傷,神戸市中央区,2017/2/28,9,晴,乾燥
負傷,神戸市中央区,2017/3/3,17,晴,乾燥
負傷,神戸市中央区,2017/3/4,21,晴,乾燥
負傷,神戸市中央区,2017/2/22,9,晴,乾燥
負傷,神戸市中央区,2017/2/26,14,晴,乾燥
負傷,神戸市中央区,2017/3/7,20,晴,乾燥
負傷,神戸市中央区,2017/3/7,21,晴,乾燥
負傷,神戸市中央区,2017/3/11,7,晴,乾燥
負傷,神戸市中央区,2017/3/13,10,雨,湿潤
負傷,神戸市中央区,2017/3/13,14,晴,乾燥
負傷,神戸市中央区,2017/3/15,12,晴,乾燥
負傷,神戸市中央区,2017/3/15,18,晴,乾燥
負傷,神戸市中央区,2017/3/16,18,晴,乾燥
負傷,神戸市中央区,2017/3/18,10,晴,乾燥
負傷,神戸市中央区,2017/3/18,21,晴,乾燥
負傷,神戸市中央区,2017/3/24,15,晴,乾燥
負傷,神戸市中央区,2017/3/18,9,晴,乾燥
負傷,神戸市中央区,2017/3/28,11,晴,乾燥
負傷,神戸市中央区,2017/3/29,9,晴,乾燥
負傷,神戸市中央区,2017/3/24,10,晴,乾燥
負傷,神戸市中央区,2017/3/9,9,晴,乾燥
負傷,神戸市中央区,2017/3/31,9,晴,乾燥
負傷,神戸市中央区,2017/3/31,11,雨,湿潤
負傷,神戸市中央区,2017/3/30,18,晴,乾燥
負傷,神戸市中央区,2017/4/1,9,晴,乾燥
負傷,神戸市中央区,2017/4/1,12,晴,乾燥
負傷,神戸市中央区,2017/4/2,9,晴,乾燥
負傷,神戸市中央区,2017/3/30,8,晴,乾燥
負傷,神戸市中央区,2017/4/5,12,晴,乾燥
負傷,神戸市中央区,2017/4/5,22,晴,乾燥
負傷,神戸市中央区,2017/4/6,7,曇,乾燥
負傷,神戸市中央区,2017/4/6,19,雨,湿潤
負傷,神戸市中央区,2017/4/4,21,晴,乾燥
負傷,神戸市中央区,2017/4/3,13,晴,乾燥
負傷,神戸市中央区,2017/4/8,22,晴,湿潤
負傷,神戸市中央区,2017/4/9,9,曇,乾燥
負傷,神戸市中央区,2017/4/10,2,晴,乾燥
負傷,神戸市中央区,2017/4/13,9,晴,乾燥
負傷,神戸市中央区,2017/4/13,6,晴,乾燥
負傷,神戸市中央区,2017/4/14,14,晴,乾燥
負傷,神戸市中央区,2017/4/11,15,雨,湿潤
負傷,神戸市中央区,2017/4/16,17,晴,乾燥
負傷,神戸市中央区,2017/4/17,20,雨,湿潤
負傷,神戸市中央区,2017/4/18,12,晴,乾燥
負傷,神戸市中央区,2017/4/21,9,晴,乾燥
負傷,神戸市中央区,2017/4/22,8,晴,乾燥
負傷,神戸市中央区,2017/4/22,7,晴,乾燥
負傷,神戸市中央区,2017/4/11,23,晴,乾燥
負傷,神戸市中央区,2017/4/23,19,晴,乾燥
負傷,神戸市中央区,2017/4/23,20,晴,乾燥
負傷,神戸市中央区,2017/4/23,23,晴,乾燥
負傷,神戸市中央区,2017/4/24,13,晴,乾燥
負傷,神戸市中央区,2017/4/24,18,晴,乾燥
負傷,神戸市中央区,2017/4/26,15,晴,乾燥
負傷,神戸市中央区,2017/4/28,19,晴,乾燥
負傷,神戸市中央区,2017/4/30,9,晴,乾燥
負傷,神戸市中央区,2017/5/2,21,晴,乾燥
負傷,神戸市中央区,2017/5/3,9,晴,乾燥
負傷,神戸市中央区,2017/2/16,18,晴,乾燥
負傷,神戸市中央区,2017/5/4,6,晴,乾燥
負傷,神戸市中央区,2017/5/6,12,曇,湿潤
負傷,神戸市中央区,2017/5/8,19,晴,乾燥
負傷,神戸市中央区,2017/4/22,9,晴,乾燥
負傷,神戸市中央区,2017/5/11,13,晴,乾燥
負傷,神戸市中央区,2017/5/16,20,晴,乾燥
負傷,神戸市中央区,2017/5/17,7,晴,乾燥
負傷,神戸市中央区,2017/5/18,16,晴,乾燥
負傷,神戸市中央区,2017/5/19,8,晴,乾燥
負傷,神戸市中央区,2017/5/19,19,晴,乾燥
負傷,神戸市中央区,2016/11/1,22,晴,乾燥
負傷,神戸市中央区,2016/11/1,22,晴,乾燥
負傷,神戸市中央区,2017/5/21,11,晴,乾燥
負傷,神戸市中央区,2017/5/23,16,晴,乾燥
負傷,神戸市中央区,2017/5/28,9,晴,乾燥
負傷,神戸市中央区,2017/4/22,12,晴,乾燥
負傷,神戸市中央区,2017/5/28,17,晴,乾燥
負傷,神戸市中央区,2017/5/20,8,晴,乾燥
負傷,神戸市中央区,2017/4/1,15,晴,乾燥
負傷,神戸市中央区,2017/6/1,10,晴,乾燥
負傷,神戸市中央区,2017/6/2,9,晴,乾燥
負傷,神戸市中央区,2017/6/2,17,晴,乾燥
負傷,神戸市中央区,2017/6/7,10,雨,湿潤
負傷,神戸市中央区,2017/6/7,15,雨,湿潤
負傷,神戸市中央区,2017/6/6,19,晴,乾燥
負傷,神戸市中央区,2017/6/11,17,晴,乾燥
負傷,神戸市中央区,2017/6/9,16,晴,乾燥
負傷,神戸市中央区,2017/6/12,8,晴,乾燥
負傷,神戸市中央区,2017/6/12,15,晴,乾燥
負傷,神戸市中央区,2017/6/12,8,晴,乾燥
負傷,神戸市中央区,2017/6/14,22,晴,乾燥
負傷,神戸市中央区,2017/6/15,8,晴,乾燥
負傷,神戸市中央区,2017/6/17,12,晴,乾燥
負傷,神戸市中央区,2017/6/17,10,晴,乾燥
負傷,神戸市中央区,2017/6/8,16,晴,乾燥
負傷,神戸市中央区,2017/6/18,16,晴,乾燥
負傷,神戸市中央区,2017/6/19,8,晴,乾燥
負傷,神戸市中央区,2017/5/30,15,曇,乾燥
負傷,神戸市中央区,2017/5/31,13,晴,乾燥
負傷,神戸市中央区,2017/6/11,20,晴,乾燥
負傷,神戸市中央区,2017/6/21,19,晴,乾燥
負傷,神戸市中央区,2017/6/22,9,晴,乾燥
負傷,神戸市中央区,2017/6/22,20,晴,乾燥
負傷,神戸市中央区,2017/6/23,8,晴,乾燥
負傷,神戸市中央区,2017/6/23,11,晴,乾燥
負傷,神戸市中央区,2017/6/9,17,晴,乾燥
負傷,神戸市中央区,2017/6/10,14,晴,乾燥
負傷,神戸市中央区,2017/6/3,0,晴,乾燥
負傷,神戸市中央区,2017/6/8,20,晴,乾燥
負傷,神戸市中央区,2017/6/25,11,雨,湿潤
負傷,神戸市中央区,2017/6/26,10,晴,乾燥
負傷,神戸市中央区,2017/6/26,16,晴,乾燥
負傷,神戸市中央区,2017/6/27,9,晴,乾燥
負傷,神戸市中央区,2017/6/27,20,雨,湿潤
負傷,神戸市中央区,2017/6/28,4,晴,湿潤
負傷,神戸市中央区,2017/6/28,19,晴,乾燥
負傷,神戸市中央区,2017/6/28,20,晴,乾燥
負傷,神戸市中央区,2017/6/21,16,晴,乾燥
負傷,神戸市中央区,2017/7/1,10,晴,乾燥
負傷,神戸市中央区,2017/7/3,8,晴,乾燥
負傷,神戸市中央区,2017/6/11,14,曇,乾燥
負傷,神戸市中央区,2017/7/1,5,曇,乾燥
負傷,神戸市中央区,2017/7/4,11,雨,湿潤
負傷,神戸市中央区,2017/7/5,10,雨,湿潤
負傷,神戸市中央区,2017/7/5,20,曇,乾燥
負傷,神戸市中央区,2017/7/6,9,晴,乾燥
負傷,神戸市中央区,2017/7/8,15,晴,乾燥
負傷,神戸市中央区,2017/7/10,9,晴,乾燥
負傷,神戸市中央区,2017/7/12,18,晴,乾燥
負傷,神戸市中央区,2017/3/10,16,晴,乾燥
負傷,神戸市中央区,2017/7/11,13,晴,乾燥
負傷,神戸市中央区,2017/7/14,17,晴,乾燥
負傷,神戸市中央区,2017/7/16,19,晴,乾燥
負傷,神戸市中央区,2017/7/17,16,晴,乾燥
負傷,神戸市中央区,2017/7/17,20,晴,乾燥
負傷,神戸市中央区,2017/7/20,14,晴,乾燥
負傷,神戸市中央区,2017/7/20,18,晴,乾燥
負傷,神戸市中央区,2017/7/21,8,晴,乾燥
負傷,神戸市中央区,2017/7/18,11,雨,湿潤
負傷,神戸市中央区,2017/7/24,9,晴,乾燥
負傷,神戸市中央区,2017/7/24,11,晴,乾燥
負傷,神戸市中央区,2017/7/27,0,晴,乾燥
負傷,神戸市中央区,2017/7/27,8,晴,乾燥
負傷,神戸市中央区,2017/7/28,15,晴,乾燥
負傷,神戸市中央区,2017/7/28,14,晴,乾燥
負傷,神戸市中央区,2017/7/29,10,晴,乾燥
負傷,神戸市中央区,2017/7/29,16,晴,乾燥
負傷,神戸市中央区,2017/7/31,9,晴,乾燥
負傷,神戸市中央区,2017/7/31,21,晴,乾燥
負傷,神戸市中央区,2017/8/1,17,晴,乾燥
負傷,神戸市中央区,2017/8/1,16,晴,乾燥
負傷,神戸市中央区,2017/8/4,9,晴,乾燥
負傷,神戸市中央区,2017/8/4,16,雨,湿潤
負傷,神戸市中央区,2017/8/7,18,雨,湿潤
負傷,神戸市中央区,2017/8/7,18,雨,湿潤
負傷,神戸市中央区,2017/8/9,13,晴,乾燥
負傷,神戸市中央区,2017/8/9,17,晴,乾燥
負傷,神戸市中央区,2017/8/13,11,晴,乾燥
負傷,神戸市中央区,2017/8/17,10,晴,乾燥
負傷,神戸市中央区,2017/8/17,12,晴,乾燥
負傷,神戸市中央区,2017/7/20,12,晴,乾燥
負傷,神戸市中央区,2017/8/19,16,晴,乾燥
負傷,神戸市中央区,2017/8/21,10,晴,乾燥
負傷,神戸市中央区,2017/8/23,12,晴,乾燥
負傷,神戸市中央区,2017/8/20,9,晴,乾燥
負傷,神戸市中央区,2017/7/26,9,曇,乾燥
負傷,神戸市中央区,2017/8/24,16,晴,乾燥
負傷,神戸市中央区,2017/8/24,16,晴,乾燥
負傷,神戸市中央区,2017/8/24,17,晴,乾燥
負傷,神戸市中央区,2017/8/28,8,晴,乾燥
負傷,神戸市中央区,2017/8/29,8,晴,乾燥
負傷,神戸市中央区,2017/8/29,21,晴,乾燥
負傷,神戸市中央区,2017/8/30,6,晴,乾燥
負傷,神戸市中央区,2017/8/30,6,晴,乾燥
負傷,神戸市中央区,2017/8/30,8,晴,乾燥
負傷,神戸市中央区,2017/8/31,13,晴,乾燥
負傷,神戸市中央区,2017/8/31,19,晴,乾燥
負傷,神戸市中央区,2017/9/1,13,晴,乾燥
負傷,神戸市中央区,2017/9/2,9,晴,乾燥
負傷,神戸市中央区,2017/9/3,8,晴,乾燥
負傷,神戸市中央区,2017/9/3,17,晴,乾燥
負傷,神戸市中央区,2017/9/4,11,晴,乾燥
負傷,神戸市中央区,2017/9/6,11,曇,湿潤
負傷,神戸市中央区,2017/9/6,8,晴,湿潤
負傷,神戸市中央区,2017/8/9,15,晴,乾燥
負傷,神戸市中央区,2017/9/7,14,雨,湿潤
負傷,神戸市中央区,2017/9/7,17,曇,乾燥
負傷,神戸市中央区,2017/9/8,11,晴,乾燥
負傷,神戸市中央区,2017/9/8,23,晴,乾燥
負傷,神戸市中央区,2017/9/10,9,晴,乾燥
負傷,神戸市中央区,2017/9/10,21,晴,乾燥
負傷,神戸市中央区,2017/9/12,9,晴,湿潤
負傷,神戸市中央区,2017/9/12,18,晴,乾燥
負傷,神戸市中央区,2017/9/13,17,晴,乾燥
負傷,神戸市中央区,2017/9/13,16,晴,乾燥
負傷,神戸市中央区,2017/9/14,18,晴,乾燥
負傷,神戸市中央区,2017/9/9,14,晴,乾燥
負傷,神戸市中央区,2017/9/15,16,晴,乾燥
負傷,神戸市中央区,2017/9/15,18,晴,乾燥
負傷,神戸市中央区,2017/9/16,14,雨,湿潤
負傷,神戸市中央区,2017/9/5,16,晴,乾燥
負傷,神戸市中央区,2017/9/10,8,晴,乾燥
負傷,神戸市中央区,2017/9/13,15,晴,乾燥
負傷,神戸市中央区,2017/9/18,9,晴,乾燥
負傷,神戸市中央区,2017/9/18,8,晴,乾燥
負傷,神戸市中央区,2017/9/19,1,晴,乾燥
負傷,神戸市中央区,2017/9/20,12,晴,乾燥
負傷,神戸市中央区,2017/9/14,21,晴,乾燥
負傷,神戸市中央区,2017/9/20,21,曇,乾燥
負傷,神戸市中央区,2017/9/21,1,曇,乾燥
負傷,神戸市中央区,2017/9/21,8,晴,乾燥
負傷,神戸市中央区,2017/9/21,9,晴,乾燥
負傷,神戸市中央区,2017/9/23,8,晴,乾燥
負傷,神戸市中央区,2017/9/23,15,晴,乾燥
負傷,神戸市中央区,2017/9/24,15,晴,乾燥
負傷,神戸市中央区,2017/9/26,12,晴,乾燥
負傷,神戸市中央区,2017/9/26,15,晴,乾燥
負傷,神戸市中央区,2017/9/27,11,曇,乾燥
負傷,神戸市中央区,2017/9/28,8,曇,乾燥
負傷,神戸市中央区,2017/9/29,11,晴,乾燥
負傷,神戸市中央区,2017/8/4,17,晴,乾燥
負傷,神戸市中央区,2017/9/29,22,晴,乾燥
負傷,神戸市中央区,2017/9/30,15,晴,乾燥
負傷,神戸市中央区,2017/10/1,4,晴,乾燥
負傷,神戸市中央区,2017/10/1,8,晴,乾燥
負傷,神戸市中央区,2017/10/1,14,晴,乾燥
負傷,神戸市中央区,2017/10/2,10,雨,湿潤
負傷,神戸市中央区,2017/10/4,8,晴,乾燥
負傷,神戸市中央区,2017/10/5,13,晴,乾燥
負傷,神戸市中央区,2017/10/5,18,晴,乾燥
負傷,神戸市中央区,2017/10/5,18,晴,乾燥
負傷,神戸市中央区,2017/10/6,5,晴,乾燥
負傷,神戸市中央区,2017/10/7,10,雨,湿潤
負傷,神戸市中央区,2017/10/8,9,晴,乾燥
負傷,神戸市中央区,2017/10/8,18,晴,乾燥
負傷,神戸市中央区,2017/10/9,11,晴,乾燥
負傷,神戸市中央区,2017/10/10,7,晴,乾燥
負傷,神戸市中央区,2017/10/10,15,晴,乾燥
負傷,神戸市中央区,2017/10/9,22,晴,乾燥
負傷,神戸市中央区,2017/10/11,9,晴,乾燥
負傷,神戸市中央区,2017/10/12,9,曇,乾燥
負傷,神戸市中央区,2017/10/13,7,曇,乾燥
負傷,神戸市中央区,2017/10/13,12,雨,湿潤
負傷,神戸市中央区,2017/10/13,13,晴,湿潤
負傷,神戸市中央区,2017/10/15,17,雨,湿潤
死亡,神戸市中央区,2017/10/16,14,雨,湿潤
負傷,神戸市中央区,2017/10/17,9,雨,湿潤
負傷,神戸市中央区,2017/10/18,13,曇,乾燥
負傷,神戸市中央区,2017/10/20,11,曇,湿潤
負傷,神戸市中央区,2017/10/20,15,曇,湿潤
負傷,神戸市中央区,2017/10/21,14,雨,湿潤
負傷,神戸市中央区,2017/10/22,21,雨,湿潤
負傷,神戸市中央区,2017/10/23,18,晴,乾燥
負傷,神戸市中央区,2017/10/24,11,晴,乾燥
負傷,神戸市中央区,2017/10/24,11,晴,乾燥
負傷,神戸市中央区,2017/10/24,19,曇,乾燥
負傷,神戸市中央区,2017/10/24,19,曇,湿潤
負傷,神戸市中央区,2017/10/27,11,晴,乾燥
負傷,神戸市中央区,2017/10/29,20,曇,湿潤
負傷,神戸市中央区,2017/10/30,8,晴,乾燥
負傷,神戸市中央区,2017/10/31,6,晴,乾燥
負傷,神戸市中央区,2017/10/31,11,晴,乾燥
負傷,神戸市中央区,2017/10/27,18,晴,乾燥
負傷,神戸市中央区,2017/10/31,19,晴,乾燥
負傷,神戸市中央区,2017/10/31,18,晴,乾燥
負傷,神戸市中央区,2017/11/1,10,晴,乾燥
負傷,神戸市中央区,2017/11/1,17,晴,乾燥
負傷,神戸市中央区,2017/11/2,17,晴,乾燥
負傷,神戸市中央区,2017/10/28,6,雨,湿潤
負傷,神戸市中央区,2017/11/4,15,晴,乾燥
負傷,神戸市中央区,2017/11/5,10,晴,乾燥
負傷,神戸市中央区,2017/11/6,11,晴,乾燥
負傷,神戸市中央区,2017/11/7,10,晴,乾燥
負傷,神戸市中央区,2017/11/7,13,晴,乾燥
負傷,神戸市中央区,2017/11/8,10,雨,湿潤
負傷,神戸市中央区,2017/11/8,14,雨,湿潤
負傷,神戸市中央区,2017/11/9,17,晴,乾燥
負傷,神戸市中央区,2017/11/10,14,晴,乾燥
負傷,神戸市中央区,2017/11/11,15,曇,乾燥
負傷,神戸市中央区,2017/11/15,16,晴,乾燥
負傷,神戸市中央区,2017/11/15,16,晴,乾燥
負傷,神戸市中央区,2017/11/10,13,晴,乾燥
負傷,神戸市中央区,2017/11/16,11,晴,乾燥
死亡,神戸市中央区,2017/11/17,11,晴,乾燥
負傷,神戸市中央区,2017/11/17,16,晴,乾燥
負傷,神戸市中央区,2017/11/18,11,曇,湿潤
負傷,神戸市中央区,2017/11/2,10,晴,乾燥
負傷,神戸市中央区,2017/11/22,22,晴,湿潤
負傷,神戸市中央区,2017/11/24,10,晴,乾燥
負傷,神戸市中央区,2017/11/26,5,晴,乾燥
負傷,神戸市中央区,2017/11/25,16,晴,乾燥
負傷,神戸市中央区,2017/11/26,13,曇,乾燥
負傷,神戸市中央区,2017/11/27,12,晴,乾燥
負傷,神戸市中央区,2017/11/28,20,晴,乾燥
負傷,神戸市中央区,2017/11/25,11,晴,湿潤
負傷,神戸市中央区,2017/11/29,22,曇,湿潤
負傷,神戸市中央区,2017/12/1,11,晴,乾燥
負傷,神戸市中央区,2017/12/2,18,晴,乾燥
負傷,神戸市中央区,2017/12/2,17,晴,乾燥
負傷,神戸市中央区,2017/12/2,17,晴,乾燥
負傷,神戸市中央区,2017/12/4,15,雨,湿潤
負傷,神戸市中央区,2017/12/4,18,曇,湿潤
負傷,神戸市中央区,2017/12/6,18,晴,乾燥
負傷,神戸市中央区,2017/12/6,20,晴,乾燥
負傷,神戸市中央区,2017/12/8,16,曇,乾燥
負傷,神戸市中央区,2017/12/2,8,晴,乾燥
負傷,神戸市中央区,2017/12/10,8,晴,乾燥
負傷,神戸市中央区,2017/12/5,19,晴,乾燥
負傷,神戸市中央区,2017/12/11,6,晴,乾燥
負傷,神戸市中央区,2017/12/11,13,曇,乾燥
負傷,神戸市中央区,2017/12/11,16,曇,乾燥
負傷,神戸市中央区,2017/12/11,16,曇,乾燥
負傷,神戸市中央区,2017/12/14,16,晴,乾燥
負傷,神戸市中央区,2017/12/15,19,晴,乾燥
負傷,神戸市中央区,2017/12/16,14,曇,乾燥
負傷,神戸市中央区,2017/12/17,18,晴,乾燥
負傷,神戸市中央区,2017/12/3,19,晴,乾燥
負傷,神戸市中央区,2017/12/19,8,晴,乾燥
負傷,神戸市中央区,2017/12/21,9,晴,乾燥
負傷,神戸市中央区,2017/12/23,8,晴,乾燥
負傷,神戸市中央区,2017/12/23,13,晴,乾燥
負傷,神戸市中央区,2017/12/25,20,晴,乾燥
負傷,神戸市中央区,2017/12/26,19,晴,乾燥
負傷,神戸市中央区,2017/11/9,1,曇,乾燥
負傷,神戸市中央区,2017/12/27,10,晴,乾燥
負傷,神戸市中央区,2017/12/16,12,曇,乾燥
負傷,神戸市中央区,2017/12/31,10,曇,乾燥
負傷,神戸市中央区,2016/12/23,17,晴,乾燥
負傷,神戸市中央区,2016/12/25,22,晴,乾燥
負傷,神戸市中央区,2016/12/27,17,雨,湿潤
負傷,神戸市中央区,2017/1/6,13,晴,乾燥
負傷,神戸市中央区,2017/1/4,18,晴,乾燥
負傷,神戸市中央区,2017/1/7,12,晴,乾燥
負傷,神戸市中央区,2016/12/25,20,晴,乾燥
負傷,神戸市中央区,2017/1/11,1,晴,乾燥
負傷,神戸市中央区,2017/1/11,13,晴,乾燥
負傷,神戸市中央区,2017/1/11,19,晴,乾燥
負傷,神戸市中央区,2017/1/11,20,晴,乾燥
負傷,神戸市中央区,2016/12/24,17,晴,乾燥
負傷,神戸市中央区,2017/1/12,10,晴,乾燥
死亡,神戸市中央区,2017/1/12,22,晴,乾燥
負傷,神戸市中央区,2017/1/13,18,晴,乾燥
負傷,神戸市中央区,2017/1/17,9,晴,乾燥
負傷,神戸市中央区,2017/1/19,11,晴,乾燥
負傷,神戸市中央区,2017/1/19,16,晴,乾燥
負傷,神戸市中央区,2017/1/19,19,晴,乾燥
負傷,神戸市中央区,2017/1/20,7,晴,乾燥
負傷,神戸市中央区,2017/1/20,17,曇,乾燥
負傷,神戸市中央区,2017/1/21,13,晴,乾燥
負傷,神戸市中央区,2017/1/16,8,晴,乾燥
負傷,神戸市中央区,2017/1/23,15,雪,湿潤
負傷,神戸市中央区,2017/1/24,10,晴,乾燥
負傷,神戸市中央区,2017/1/24,15,曇,乾燥
負傷,神戸市中央区,2017/1/27,19,雨,湿潤
負傷,神戸市中央区,2017/1/28,8,晴,乾燥
負傷,神戸市中央区,2017/1/29,12,晴,乾燥
負傷,神戸市中央区,2017/1/25,13,晴,乾燥
負傷,神戸市中央区,2017/1/30,7,雨,湿潤
