accident,where,date,time,weather,state
負傷,神戸市垂水区,2020/1/7,19,曇,乾燥
負傷,神戸市西区,2020/1/7,6,曇,乾燥
負傷,神戸市中央区,2020/1/8,11,曇,乾燥
負傷,神戸市中央区,2020/1/8,6,雨,湿潤
負傷,神戸市中央区,2020/1/8,10,曇,乾燥
負傷,神戸市中央区,2020/1/8,12,晴,乾燥
負傷,神戸市中央区,2020/1/8,21,晴,乾燥
負傷,神戸市東灘区,2020/1/8,5,雨,湿潤
負傷,神戸市兵庫区,2020/1/8,13,晴,乾燥
負傷,神戸市兵庫区,2020/1/8,20,晴,乾燥
負傷,神戸市兵庫区,2020/1/8,18,晴,乾燥
負傷,神戸市長田区,2020/1/8,6,雨,湿潤
負傷,神戸市長田区,2020/1/8,14,晴,乾燥
負傷,神戸市西区,2020/1/8,9,晴,湿潤
負傷,神戸市西区,2020/1/8,14,晴,乾燥
負傷,神戸市中央区,2020/1/9,12,晴,乾燥
負傷,神戸市中央区,2020/1/9,17,晴,乾燥
負傷,神戸市東灘区,2020/1/9,5,晴,乾燥
負傷,神戸市灘区,2020/1/9,9,晴,乾燥
負傷,神戸市灘区,2020/1/9,15,晴,乾燥
負傷,神戸市北区,2020/1/9,7,晴,乾燥
負傷,神戸市北区,2020/1/9,11,晴,乾燥
負傷,神戸市北区,2020/1/9,14,晴,乾燥
負傷,神戸市長田区,2020/1/9,8,晴,乾燥
負傷,神戸市垂水区,2020/1/9,3,晴,乾燥
負傷,神戸市垂水区,2020/1/9,13,晴,乾燥
負傷,神戸市西区,2020/1/9,7,晴,乾燥
負傷,神戸市西区,2020/1/9,13,晴,乾燥
負傷,神戸市西区,2020/1/9,19,晴,乾燥
負傷,神戸市西区,2020/1/9,17,晴,乾燥
負傷,神戸市中央区,2020/1/10,16,晴,乾燥
負傷,神戸市中央区,2020/1/10,17,晴,乾燥
負傷,神戸市東灘区,2020/1/10,17,晴,乾燥
負傷,神戸市東灘区,2020/1/10,16,晴,乾燥
負傷,神戸市灘区,2020/1/10,10,晴,乾燥
負傷,神戸市灘区,2020/1/10,18,晴,乾燥
負傷,神戸市兵庫区,2020/1/10,23,晴,乾燥
負傷,神戸市兵庫区,2020/1/10,14,晴,乾燥
負傷,神戸市兵庫区,2020/1/10,23,晴,乾燥
負傷,神戸市北区,2020/1/10,9,晴,乾燥
負傷,神戸市北区,2020/1/10,13,晴,乾燥
負傷,神戸市長田区,2020/1/10,14,晴,乾燥
負傷,神戸市垂水区,2020/1/10,18,晴,乾燥
負傷,神戸市西区,2020/1/10,14,晴,乾燥
負傷,神戸市西区,2020/1/10,15,晴,乾燥
負傷,神戸市中央区,2020/1/11,22,晴,乾燥
負傷,神戸市灘区,2020/1/11,22,晴,乾燥
負傷,神戸市北区,2020/1/11,13,晴,乾燥
負傷,神戸市北区,2020/1/11,15,曇,乾燥
負傷,神戸市北区,2020/1/11,8,曇,乾燥
負傷,神戸市長田区,2020/1/11,12,晴,乾燥
負傷,神戸市須磨区,2020/1/11,12,晴,乾燥
負傷,神戸市須磨区,2020/1/11,22,晴,乾燥
負傷,神戸市垂水区,2020/1/11,10,晴,乾燥
負傷,神戸市垂水区,2020/1/11,12,晴,乾燥
負傷,神戸市垂水区,2020/1/11,14,晴,乾燥
負傷,神戸市垂水区,2020/1/11,16,晴,乾燥
負傷,神戸市垂水区,2020/1/11,15,晴,乾燥
負傷,神戸市中央区,2020/1/12,12,曇,乾燥
負傷,神戸市東灘区,2020/1/12,12,曇,乾燥
負傷,神戸市兵庫区,2020/1/12,9,晴,乾燥
負傷,神戸市北区,2020/1/12,18,曇,乾燥
負傷,神戸市須磨区,2020/1/12,15,曇,乾燥
負傷,神戸市垂水区,2020/1/12,20,晴,乾燥
負傷,神戸市垂水区,2020/1/12,19,晴,乾燥
負傷,神戸市西区,2020/1/12,10,曇,乾燥
負傷,神戸市西区,2020/1/12,18,曇,乾燥
負傷,神戸市中央区,2020/1/13,8,晴,乾燥
負傷,神戸市東灘区,2020/1/13,15,晴,乾燥
負傷,神戸市東灘区,2020/1/13,18,晴,乾燥
負傷,神戸市東灘区,2020/1/13,13,晴,乾燥
負傷,神戸市東灘区,2020/1/13,15,晴,乾燥
負傷,神戸市灘区,2020/1/13,18,曇,乾燥
負傷,神戸市兵庫区,2020/1/13,14,晴,乾燥
負傷,神戸市北区,2020/1/13,7,晴,乾燥
負傷,神戸市北区,2020/1/13,20,晴,乾燥
負傷,神戸市北区,2020/1/13,19,晴,乾燥
負傷,神戸市北区,2020/1/13,19,晴,乾燥
負傷,神戸市長田区,2020/1/13,16,晴,乾燥
負傷,神戸市垂水区,2020/1/13,17,晴,乾燥
負傷,神戸市西区,2020/1/13,7,晴,乾燥
負傷,神戸市西区,2020/1/13,10,晴,乾燥
負傷,神戸市西区,2020/1/13,12,晴,乾燥
負傷,神戸市中央区,2020/1/14,8,晴,乾燥
負傷,神戸市中央区,2020/1/14,20,晴,湿潤
負傷,神戸市中央区,2020/1/14,19,雨,湿潤
負傷,神戸市東灘区,2020/1/14,21,雨,湿潤
負傷,神戸市東灘区,2020/1/14,7,晴,乾燥
負傷,神戸市灘区,2020/1/14,13,曇,乾燥
負傷,神戸市兵庫区,2020/1/14,11,晴,乾燥
負傷,神戸市兵庫区,2020/1/14,20,晴,乾燥
負傷,神戸市兵庫区,2020/1/14,23,曇,乾燥
負傷,神戸市北区,2020/1/14,7,晴,乾燥
負傷,神戸市北区,2020/1/14,17,雨,湿潤
負傷,神戸市北区,2020/1/14,11,曇,乾燥
負傷,神戸市長田区,2020/1/14,15,曇,乾燥
負傷,神戸市須磨区,2020/1/14,17,雨,湿潤
負傷,神戸市須磨区,2020/1/14,11,晴,乾燥
負傷,神戸市垂水区,2020/1/14,11,晴,乾燥
負傷,神戸市垂水区,2020/1/14,18,雨,湿潤
負傷,神戸市西区,2020/1/14,7,晴,乾燥
負傷,神戸市西区,2020/1/14,7,晴,乾燥
負傷,神戸市中央区,2020/1/15,8,晴,乾燥
負傷,神戸市中央区,2020/1/15,13,雨,湿潤
負傷,神戸市中央区,2020/1/15,19,晴,乾燥
負傷,神戸市中央区,2020/1/15,9,晴,乾燥
負傷,神戸市中央区,2020/1/15,19,晴,乾燥
負傷,神戸市東灘区,2020/1/15,18,曇,乾燥
負傷,神戸市東灘区,2020/1/15,11,晴,乾燥
負傷,神戸市灘区,2020/1/15,18,晴,乾燥
負傷,神戸市北区,2020/1/15,13,晴,乾燥
負傷,神戸市長田区,2020/1/15,7,曇,乾燥
負傷,神戸市須磨区,2020/1/15,12,雨,湿潤
負傷,神戸市須磨区,2020/1/15,8,晴,乾燥
負傷,神戸市垂水区,2020/1/15,8,晴,乾燥
負傷,神戸市垂水区,2020/1/15,18,晴,乾燥
負傷,神戸市垂水区,2020/1/15,21,晴,乾燥
負傷,神戸市西区,2020/1/15,8,晴,乾燥
負傷,神戸市西区,2020/1/15,8,晴,乾燥
負傷,神戸市西区,2020/1/15,10,曇,乾燥
負傷,神戸市西区,2020/1/15,18,晴,乾燥
負傷,神戸市西区,2020/1/15,11,晴,乾燥
負傷,神戸市中央区,2020/1/16,17,曇,乾燥
負傷,神戸市中央区,2020/1/16,8,晴,乾燥
負傷,神戸市中央区,2020/1/16,8,晴,乾燥
負傷,神戸市東灘区,2020/1/16,9,晴,乾燥
負傷,神戸市灘区,2020/1/16,7,晴,乾燥
負傷,神戸市兵庫区,2020/1/16,17,晴,乾燥
負傷,神戸市北区,2020/1/16,15,晴,乾燥
負傷,神戸市垂水区,2020/1/16,6,晴,乾燥
負傷,神戸市垂水区,2020/1/16,9,晴,乾燥
負傷,神戸市西区,2020/1/16,8,晴,乾燥
負傷,神戸市西区,2020/1/16,9,晴,乾燥
負傷,神戸市西区,2020/1/16,14,晴,乾燥
負傷,神戸市西区,2020/1/16,10,晴,乾燥
負傷,神戸市西区,2020/1/16,19,曇,乾燥
負傷,神戸市西区,2020/1/16,19,晴,乾燥
負傷,神戸市中央区,2020/1/17,17,晴,乾燥
負傷,神戸市東灘区,2020/1/17,7,晴,乾燥
負傷,神戸市東灘区,2020/1/17,12,晴,乾燥
負傷,神戸市灘区,2020/1/17,14,晴,乾燥
負傷,神戸市須磨区,2020/1/17,13,晴,乾燥
負傷,神戸市垂水区,2020/1/17,19,晴,乾燥
負傷,神戸市西区,2020/1/17,18,晴,乾燥
負傷,神戸市西区,2020/1/17,19,晴,乾燥
負傷,神戸市西区,2020/1/17,7,晴,乾燥
負傷,神戸市中央区,2020/1/18,9,晴,乾燥
負傷,神戸市中央区,2020/1/18,11,晴,乾燥
負傷,神戸市灘区,2020/1/18,10,晴,乾燥
負傷,神戸市灘区,2020/1/18,11,晴,乾燥
負傷,神戸市長田区,2020/1/18,10,晴,乾燥
負傷,神戸市須磨区,2020/1/18,10,晴,乾燥
負傷,神戸市須磨区,2020/1/18,15,晴,乾燥
負傷,神戸市垂水区,2020/1/18,16,晴,乾燥
負傷,神戸市西区,2020/1/18,8,晴,乾燥
負傷,神戸市西区,2020/1/18,13,晴,乾燥
負傷,神戸市西区,2020/1/18,11,晴,乾燥
負傷,神戸市西区,2020/1/18,10,晴,乾燥
負傷,神戸市東灘区,2020/1/19,10,曇,乾燥
負傷,神戸市兵庫区,2020/1/19,23,晴,乾燥
負傷,神戸市須磨区,2020/1/19,14,晴,乾燥
負傷,神戸市垂水区,2020/1/19,12,晴,乾燥
負傷,神戸市西区,2020/1/19,10,晴,乾燥
負傷,神戸市中央区,2020/1/20,9,晴,乾燥
負傷,神戸市中央区,2020/1/20,17,晴,乾燥
負傷,神戸市北区,2020/1/20,17,晴,乾燥
負傷,神戸市北区,2020/1/20,18,晴,乾燥
負傷,神戸市長田区,2020/1/20,10,曇,乾燥
負傷,神戸市長田区,2020/1/20,16,曇,乾燥
負傷,神戸市長田区,2020/1/20,21,晴,乾燥
負傷,神戸市須磨区,2020/1/20,10,晴,乾燥
負傷,神戸市須磨区,2020/1/20,19,晴,乾燥
負傷,神戸市垂水区,2020/1/20,15,晴,乾燥
負傷,神戸市西区,2020/1/20,21,晴,乾燥
負傷,神戸市西区,2020/1/20,20,晴,乾燥
負傷,神戸市中央区,2020/1/21,21,晴,乾燥
負傷,神戸市中央区,2020/1/21,10,晴,乾燥
負傷,神戸市中央区,2020/1/21,17,晴,乾燥
負傷,神戸市東灘区,2020/1/21,21,晴,乾燥
負傷,神戸市灘区,2020/1/21,18,晴,乾燥
負傷,神戸市兵庫区,2020/1/21,18,晴,乾燥
負傷,神戸市兵庫区,2020/1/21,17,晴,乾燥
負傷,神戸市北区,2020/1/21,16,晴,乾燥
負傷,神戸市長田区,2020/1/21,8,晴,乾燥
負傷,神戸市長田区,2020/1/21,12,晴,乾燥
負傷,神戸市長田区,2020/1/21,19,晴,乾燥
負傷,神戸市須磨区,2020/1/21,16,晴,乾燥
負傷,神戸市須磨区,2020/1/21,8,晴,乾燥
負傷,神戸市垂水区,2020/1/21,9,晴,乾燥
負傷,神戸市垂水区,2020/1/21,17,晴,乾燥
負傷,神戸市垂水区,2020/1/21,11,晴,乾燥
負傷,神戸市西区,2020/1/21,17,晴,乾燥
負傷,神戸市西区,2020/1/21,18,晴,乾燥
負傷,神戸市西区,2020/1/21,20,晴,乾燥
負傷,神戸市中央区,2020/1/22,5,晴,乾燥
負傷,神戸市中央区,2020/1/22,12,晴,乾燥
負傷,神戸市中央区,2020/1/22,18,雨,湿潤
負傷,神戸市中央区,2020/1/22,21,雨,湿潤
負傷,神戸市東灘区,2020/1/22,9,晴,乾燥
負傷,神戸市東灘区,2020/1/22,20,雨,湿潤
負傷,神戸市灘区,2020/1/22,14,曇,乾燥
負傷,神戸市兵庫区,2020/1/22,14,晴,乾燥
負傷,神戸市兵庫区,2020/1/22,17,雨,湿潤
負傷,神戸市北区,2020/1/22,18,雨,湿潤
負傷,神戸市北区,2020/1/22,18,雨,湿潤
負傷,神戸市北区,2020/1/22,18,雨,湿潤
負傷,神戸市北区,2020/1/22,16,曇,乾燥
負傷,神戸市北区,2020/1/22,7,晴,乾燥
負傷,神戸市北区,2020/1/22,18,雨,湿潤
負傷,神戸市長田区,2020/1/22,8,晴,乾燥
負傷,神戸市須磨区,2020/1/22,8,晴,乾燥
負傷,神戸市須磨区,2020/1/22,17,雨,湿潤
負傷,神戸市西区,2020/1/22,6,晴,乾燥
負傷,神戸市西区,2020/1/22,8,晴,乾燥
負傷,神戸市西区,2020/1/22,19,雨,湿潤
負傷,神戸市西区,2020/1/22,18,雨,湿潤
負傷,神戸市西区,2020/1/22,17,雨,湿潤
負傷,神戸市西区,2020/1/22,19,雨,湿潤
負傷,神戸市西区,2020/1/22,16,晴,乾燥
負傷,神戸市中央区,2020/1/23,7,雨,湿潤
負傷,神戸市東灘区,2020/1/23,7,雨,湿潤
負傷,神戸市東灘区,2020/1/23,18,曇,乾燥
負傷,神戸市灘区,2020/1/23,12,曇,湿潤
負傷,神戸市灘区,2020/1/23,18,晴,乾燥
負傷,神戸市兵庫区,2020/1/23,15,曇,乾燥
負傷,神戸市兵庫区,2020/1/23,21,晴,乾燥
負傷,神戸市兵庫区,2020/1/23,6,雨,湿潤
負傷,神戸市北区,2020/1/23,8,晴,凍結 
負傷,神戸市北区,2020/1/23,8,雨,湿潤
負傷,神戸市長田区,2020/1/23,9,曇,乾燥
負傷,神戸市須磨区,2020/1/23,6,雨,湿潤
負傷,神戸市垂水区,2020/1/23,8,曇,湿潤
負傷,神戸市垂水区,2020/1/23,8,雨,湿潤
負傷,神戸市垂水区,2020/1/23,18,曇,乾燥
負傷,神戸市西区,2020/1/23,18,曇,乾燥
負傷,神戸市西区,2020/1/23,17,曇,乾燥
負傷,神戸市中央区,2020/1/24,5,晴,乾燥
負傷,神戸市東灘区,2020/1/24,10,晴,乾燥
負傷,神戸市東灘区,2020/1/24,11,晴,乾燥
負傷,神戸市東灘区,2020/1/24,13,曇,乾燥
負傷,神戸市東灘区,2020/1/24,14,曇,乾燥
負傷,神戸市東灘区,2020/1/24,15,曇,乾燥
負傷,神戸市東灘区,2020/1/24,20,曇,乾燥
負傷,神戸市灘区,2020/1/24,6,曇,湿潤
負傷,神戸市灘区,2020/1/24,15,晴,乾燥
負傷,神戸市兵庫区,2020/1/24,8,晴,乾燥
負傷,神戸市兵庫区,2020/1/24,18,晴,乾燥
負傷,神戸市北区,2020/1/24,8,曇,乾燥
負傷,神戸市北区,2020/1/24,18,晴,乾燥
負傷,神戸市北区,2020/1/24,6,晴,乾燥
負傷,神戸市須磨区,2020/1/24,18,晴,乾燥
負傷,神戸市須磨区,2020/1/24,21,晴,乾燥
負傷,神戸市垂水区,2020/1/24,4,晴,乾燥
負傷,神戸市垂水区,2020/1/24,12,曇,乾燥
負傷,神戸市垂水区,2020/1/24,17,晴,乾燥
負傷,神戸市西区,2020/1/24,13,晴,乾燥
負傷,神戸市中央区,2020/1/25,11,曇,乾燥
負傷,神戸市東灘区,2020/1/25,15,晴,乾燥
負傷,神戸市東灘区,2020/1/25,5,晴,乾燥
負傷,神戸市兵庫区,2020/1/25,21,晴,湿潤
負傷,神戸市北区,2020/1/25,21,曇,乾燥
負傷,神戸市北区,2020/1/25,19,晴,乾燥
負傷,神戸市長田区,2020/1/25,13,曇,乾燥
負傷,神戸市西区,2020/1/25,9,曇,乾燥
負傷,神戸市西区,2020/1/25,17,晴,乾燥
負傷,神戸市中央区,2020/1/26,20,晴,乾燥
負傷,神戸市東灘区,2020/1/26,5,曇,湿潤
負傷,神戸市北区,2020/1/26,7,曇,乾燥
負傷,神戸市北区,2020/1/26,14,晴,乾燥
負傷,神戸市北区,2020/1/26,13,晴,乾燥
負傷,神戸市垂水区,2020/1/26,18,晴,乾燥
負傷,神戸市西区,2020/1/26,10,晴,乾燥
負傷,神戸市西区,2020/1/26,17,晴,乾燥
負傷,神戸市西区,2020/1/26,0,曇,乾燥
負傷,神戸市中央区,2020/1/27,11,曇,乾燥
負傷,神戸市中央区,2020/1/27,15,雨,湿潤
負傷,神戸市中央区,2020/1/27,15,雨,湿潤
負傷,神戸市東灘区,2020/1/27,15,雨,湿潤
負傷,神戸市東灘区,2020/1/27,21,曇,湿潤
負傷,神戸市東灘区,2020/1/27,16,雨,湿潤
負傷,神戸市東灘区,2020/1/27,14,雨,湿潤
負傷,神戸市灘区,2020/1/27,17,曇,乾燥
負傷,神戸市兵庫区,2020/1/27,9,雨,湿潤
負傷,神戸市兵庫区,2020/1/27,23,曇,乾燥
負傷,神戸市北区,2020/1/27,6,雨,湿潤
負傷,神戸市北区,2020/1/27,21,曇,湿潤
負傷,神戸市北区,2020/1/27,15,雨,湿潤
負傷,神戸市須磨区,2020/1/27,6,雨,湿潤
負傷,神戸市垂水区,2020/1/27,15,雨,湿潤
負傷,神戸市西区,2020/1/27,14,雨,湿潤
負傷,神戸市西区,2020/1/27,18,曇,乾燥
負傷,神戸市西区,2020/1/27,19,曇,乾燥
負傷,神戸市西区,2020/1/27,10,雨,湿潤
負傷,神戸市中央区,2020/1/28,19,晴,乾燥
負傷,神戸市東灘区,2020/1/28,13,曇,乾燥
負傷,神戸市北区,2020/1/28,11,晴,乾燥
負傷,神戸市北区,2020/1/28,18,雨,湿潤
負傷,神戸市長田区,2020/1/28,8,曇,湿潤
負傷,神戸市長田区,2020/1/28,8,晴,乾燥
負傷,神戸市須磨区,2020/1/28,16,雨,湿潤
負傷,神戸市須磨区,2020/1/28,18,雨,湿潤
負傷,神戸市垂水区,2020/1/28,10,晴,乾燥
負傷,神戸市垂水区,2020/1/28,13,曇,乾燥
負傷,神戸市垂水区,2020/1/28,18,雨,湿潤
負傷,神戸市西区,2020/1/28,15,曇,乾燥
負傷,神戸市西区,2020/1/28,7,晴,乾燥
負傷,神戸市西区,2020/1/28,7,晴,乾燥
負傷,神戸市西区,2020/1/28,13,曇,乾燥
負傷,神戸市中央区,2020/1/29,10,晴,乾燥
負傷,神戸市中央区,2020/1/29,3,晴,乾燥
負傷,神戸市東灘区,2020/1/29,10,晴,乾燥
負傷,神戸市東灘区,2020/1/29,7,曇,乾燥
負傷,神戸市兵庫区,2020/1/29,18,晴,乾燥
負傷,神戸市北区,2020/1/29,8,曇,乾燥
負傷,神戸市北区,2020/1/29,11,曇,乾燥
負傷,神戸市長田区,2020/1/29,7,晴,乾燥
負傷,神戸市垂水区,2020/1/29,11,晴,乾燥
負傷,神戸市垂水区,2020/1/29,19,晴,乾燥
負傷,神戸市垂水区,2020/1/29,15,晴,乾燥
負傷,神戸市西区,2020/1/29,14,晴,乾燥
負傷,神戸市西区,2020/1/29,18,晴,乾燥
負傷,神戸市西区,2020/1/29,10,晴,乾燥
負傷,神戸市西区,2020/1/29,7,曇,湿潤
負傷,神戸市西区,2020/1/29,10,晴,乾燥
負傷,神戸市東灘区,2020/1/30,13,晴,乾燥
負傷,神戸市北区,2020/1/30,12,晴,乾燥
負傷,神戸市北区,2020/1/30,12,曇,乾燥
負傷,神戸市須磨区,2020/1/30,9,晴,乾燥
負傷,神戸市須磨区,2020/1/30,16,晴,乾燥
負傷,神戸市西区,2020/1/30,8,晴,乾燥
負傷,神戸市西区,2020/1/30,10,晴,乾燥
負傷,神戸市西区,2020/1/30,8,晴,乾燥
負傷,神戸市西区,2020/1/30,18,晴,乾燥
負傷,神戸市中央区,2020/1/31,8,晴,乾燥
負傷,神戸市中央区,2020/1/31,9,晴,乾燥
負傷,神戸市中央区,2020/1/31,18,晴,乾燥
負傷,神戸市中央区,2020/1/31,12,晴,乾燥
負傷,神戸市中央区,2020/1/31,11,曇,乾燥
負傷,神戸市東灘区,2020/1/31,13,晴,乾燥
負傷,神戸市東灘区,2020/1/31,15,晴,乾燥
負傷,神戸市東灘区,2020/1/31,17,晴,乾燥
負傷,神戸市北区,2020/1/31,6,曇,乾燥
負傷,神戸市長田区,2020/1/31,7,晴,乾燥
負傷,神戸市垂水区,2020/1/31,7,晴,乾燥
負傷,神戸市垂水区,2020/1/31,10,晴,乾燥
負傷,神戸市西区,2020/1/31,15,霧,乾燥
負傷,神戸市西区,2020/1/31,19,曇,乾燥
負傷,神戸市中央区,2020/2/1,17,晴,乾燥
負傷,神戸市中央区,2020/2/1,22,晴,乾燥
負傷,神戸市東灘区,2020/2/1,9,晴,乾燥
負傷,神戸市灘区,2020/2/1,21,晴,乾燥
負傷,神戸市兵庫区,2020/2/1,8,晴,乾燥
負傷,神戸市北区,2020/2/1,17,晴,乾燥
負傷,神戸市北区,2020/2/1,12,晴,乾燥
負傷,神戸市長田区,2020/2/1,8,晴,乾燥
負傷,神戸市長田区,2020/2/1,22,晴,乾燥
負傷,神戸市須磨区,2020/2/1,16,晴,乾燥
負傷,神戸市西区,2020/2/1,9,晴,乾燥
負傷,神戸市西区,2020/2/1,15,晴,乾燥
負傷,神戸市西区,2020/2/1,13,晴,乾燥
負傷,神戸市西区,2020/2/1,19,晴,乾燥
負傷,神戸市中央区,2020/2/2,12,晴,乾燥
負傷,神戸市中央区,2020/2/2,19,晴,乾燥
負傷,神戸市東灘区,2020/2/2,13,晴,乾燥
負傷,神戸市東灘区,2020/2/2,4,晴,乾燥
負傷,神戸市灘区,2020/2/2,8,晴,乾燥
負傷,神戸市兵庫区,2020/2/2,15,晴,乾燥
負傷,神戸市垂水区,2020/2/2,12,晴,乾燥
負傷,神戸市西区,2020/2/2,17,晴,乾燥
負傷,神戸市中央区,2020/2/3,8,晴,乾燥
負傷,神戸市中央区,2020/2/3,0,晴,乾燥
負傷,神戸市中央区,2020/2/3,9,晴,乾燥
負傷,神戸市東灘区,2020/2/3,9,晴,乾燥
負傷,神戸市東灘区,2020/2/3,10,晴,乾燥
負傷,神戸市東灘区,2020/2/3,16,晴,乾燥
負傷,神戸市兵庫区,2020/2/3,15,晴,乾燥
負傷,神戸市北区,2020/2/3,16,晴,乾燥
負傷,神戸市北区,2020/2/3,18,晴,乾燥
負傷,神戸市北区,2020/2/3,19,晴,乾燥
負傷,神戸市長田区,2020/2/3,7,晴,乾燥
負傷,神戸市長田区,2020/2/3,18,晴,乾燥
負傷,神戸市長田区,2020/2/3,22,晴,乾燥
負傷,神戸市須磨区,2020/2/3,7,晴,乾燥
負傷,神戸市須磨区,2020/2/3,17,晴,乾燥
負傷,神戸市垂水区,2020/2/3,13,晴,乾燥
負傷,神戸市西区,2020/2/3,11,曇,乾燥
負傷,神戸市西区,2020/2/3,18,晴,乾燥
負傷,神戸市西区,2020/2/3,8,晴,乾燥
負傷,神戸市東灘区,2020/2/4,18,晴,乾燥
負傷,神戸市東灘区,2020/2/4,9,晴,乾燥
負傷,神戸市灘区,2020/2/4,22,晴,乾燥
負傷,神戸市兵庫区,2020/2/4,16,晴,乾燥
負傷,神戸市北区,2020/2/4,16,晴,乾燥
負傷,神戸市北区,2020/2/4,6,晴,乾燥
負傷,神戸市北区,2020/2/4,11,晴,乾燥
負傷,神戸市長田区,2020/2/4,12,晴,乾燥
負傷,神戸市長田区,2020/2/4,16,晴,乾燥
負傷,神戸市長田区,2020/2/4,18,晴,乾燥
負傷,神戸市須磨区,2020/2/4,7,晴,乾燥
負傷,神戸市須磨区,2020/2/4,15,晴,乾燥
負傷,神戸市須磨区,2020/2/4,17,晴,乾燥
負傷,神戸市垂水区,2020/2/4,19,晴,乾燥
負傷,神戸市垂水区,2020/2/4,7,晴,乾燥
負傷,神戸市西区,2020/2/4,10,晴,乾燥
負傷,神戸市西区,2020/2/4,9,晴,乾燥
負傷,神戸市西区,2020/2/4,11,晴,乾燥
負傷,神戸市西区,2020/2/4,19,晴,乾燥
負傷,神戸市東灘区,2020/2/5,6,晴,乾燥
負傷,神戸市灘区,2020/2/5,9,晴,乾燥
死亡,神戸市灘区,2020/2/5,9,晴,乾燥
負傷,神戸市北区,2020/2/5,8,晴,乾燥
負傷,神戸市須磨区,2020/2/5,8,晴,乾燥
負傷,神戸市垂水区,2020/2/5,7,晴,乾燥
負傷,神戸市西区,2020/2/5,8,晴,乾燥
負傷,神戸市西区,2020/2/5,18,晴,乾燥
負傷,神戸市西区,2020/2/5,18,晴,乾燥
負傷,神戸市西区,2020/2/5,17,晴,乾燥
負傷,神戸市西区,2020/2/5,18,晴,乾燥
負傷,神戸市西区,2020/2/5,7,晴,乾燥
負傷,神戸市東灘区,2020/2/6,12,晴,乾燥
負傷,神戸市東灘区,2020/2/6,10,晴,乾燥
負傷,神戸市東灘区,2020/2/6,11,晴,乾燥
負傷,神戸市灘区,2020/2/6,13,曇,乾燥
負傷,神戸市灘区,2020/2/6,20,曇,乾燥
負傷,神戸市北区,2020/2/6,7,晴,乾燥
負傷,神戸市北区,2020/2/6,16,曇,乾燥
負傷,神戸市長田区,2020/2/6,4,晴,乾燥
負傷,神戸市垂水区,2020/2/6,12,晴,乾燥
負傷,神戸市西区,2020/2/6,8,晴,乾燥
負傷,神戸市西区,2020/2/6,7,晴,乾燥
負傷,神戸市中央区,2020/2/7,7,晴,乾燥
負傷,神戸市中央区,2020/2/7,8,晴,乾燥
負傷,神戸市中央区,2020/2/7,21,晴,乾燥
