accident,where,year,date,,time,whether,state
負傷,神戸市中央区,2017,0125,20170125,6,晴,乾燥
負傷,神戸市中央区,2017,0129,20170129,20,雨,湿潤
負傷,神戸市中央区,2017,0130,20170130,17,曇,湿潤
負傷,神戸市中央区,2017,0131,20170131,8,晴,乾燥
負傷,神戸市中央区,2017,0131,20170131,17,晴,乾燥
負傷,神戸市中央区,2017,0131,20170131,17,晴,乾燥
負傷,神戸市中央区,2017,0122,20170122,10,晴,乾燥
負傷,神戸市中央区,2017,0203,20170203,16,晴,乾燥
負傷,神戸市中央区,2017,0204,20170204,18,晴,乾燥
負傷,神戸市中央区,2017,0204,20170204,20,晴,乾燥
負傷,神戸市中央区,2017,0207,20170207,8,晴,乾燥
負傷,神戸市中央区,2017,0208,20170208,7,晴,乾燥
負傷,神戸市中央区,2017,0208,20170208,6,晴,乾燥
負傷,神戸市中央区,2017,0208,20170208,10,晴,乾燥
負傷,神戸市中央区,2017,0208,20170208,22,晴,乾燥
負傷,神戸市中央区,2017,0204,20170204,16,晴,乾燥
負傷,神戸市中央区,2017,0209,20170209,22,晴,乾燥
負傷,神戸市中央区,2017,0210,20170210,2,晴,乾燥
負傷,神戸市中央区,2017,0210,20170210,7,晴,乾燥
負傷,神戸市中央区,2017,0214,20170214,10,晴,乾燥
負傷,神戸市中央区,2017,0215,20170215,7,晴,乾燥
負傷,神戸市中央区,2017,0215,20170215,8,晴,乾燥
負傷,神戸市中央区,2017,0215,20170215,14,晴,乾燥
負傷,神戸市中央区,2017,0215,20170215,15,晴,乾燥
負傷,神戸市中央区,2017,0216,20170216,7,晴,乾燥
負傷,神戸市中央区,2017,0122,20170122,19,晴,乾燥
負傷,神戸市中央区,2017,0217,20170217,19,晴,乾燥
負傷,神戸市中央区,2017,0218,20170218,8,晴,乾燥
負傷,神戸市中央区,2017,0220,20170220,11,曇,乾燥
負傷,神戸市中央区,2017,0221,20170221,8,雪,湿潤
負傷,神戸市中央区,2017,0221,20170221,13,晴,乾燥
負傷,神戸市中央区,2017,0222,20170222,20,雨,湿潤
負傷,神戸市中央区,2017,0222,20170222,10,晴,乾燥
負傷,神戸市中央区,2017,0223,20170223,17,晴,乾燥
負傷,神戸市中央区,2017,0224,20170224,13,晴,乾燥
負傷,神戸市中央区,2017,0226,20170226,2,晴,乾燥
負傷,神戸市中央区,2017,0226,20170226,11,晴,乾燥
負傷,神戸市中央区,2017,0227,20170227,12,晴,乾燥
負傷,神戸市中央区,2017,0227,20170227,13,晴,乾燥
負傷,神戸市中央区,2017,0227,20170227,13,晴,乾燥
負傷,神戸市中央区,2017,0227,20170227,15,晴,乾燥
負傷,神戸市中央区,2017,0228,20170228,9,晴,乾燥
負傷,神戸市中央区,2017,0303,20170303,17,晴,乾燥
負傷,神戸市中央区,2017,0304,20170304,21,晴,乾燥
負傷,神戸市中央区,2017,0222,20170222,9,晴,乾燥
負傷,神戸市中央区,2017,0226,20170226,14,晴,乾燥
負傷,神戸市中央区,2017,0307,20170307,20,晴,乾燥
負傷,神戸市中央区,2017,0307,20170307,21,晴,乾燥
負傷,神戸市中央区,2017,0311,20170311,7,晴,乾燥
負傷,神戸市中央区,2017,0313,20170313,10,雨,湿潤
負傷,神戸市中央区,2017,0313,20170313,14,晴,乾燥
負傷,神戸市中央区,2017,0315,20170315,12,晴,乾燥
負傷,神戸市中央区,2017,0315,20170315,18,晴,乾燥
負傷,神戸市中央区,2017,0316,20170316,18,晴,乾燥
負傷,神戸市中央区,2017,0318,20170318,10,晴,乾燥
負傷,神戸市中央区,2017,0318,20170318,21,晴,乾燥
負傷,神戸市中央区,2017,0324,20170324,15,晴,乾燥
負傷,神戸市中央区,2017,0318,20170318,9,晴,乾燥
負傷,神戸市中央区,2017,0328,20170328,11,晴,乾燥
負傷,神戸市中央区,2017,0329,20170329,9,晴,乾燥
負傷,神戸市中央区,2017,0324,20170324,10,晴,乾燥
負傷,神戸市中央区,2017,0309,20170309,9,晴,乾燥
負傷,神戸市中央区,2017,0331,20170331,9,晴,乾燥
負傷,神戸市中央区,2017,0331,20170331,11,雨,湿潤
負傷,神戸市中央区,2017,0330,20170330,18,晴,乾燥
負傷,神戸市中央区,2017,0401,20170401,9,晴,乾燥
負傷,神戸市中央区,2017,0401,20170401,12,晴,乾燥
負傷,神戸市中央区,2017,0402,20170402,9,晴,乾燥
負傷,神戸市中央区,2017,0330,20170330,8,晴,乾燥
負傷,神戸市中央区,2017,0405,20170405,12,晴,乾燥
負傷,神戸市中央区,2017,0405,20170405,22,晴,乾燥
負傷,神戸市中央区,2017,0406,20170406,7,曇,乾燥
負傷,神戸市中央区,2017,0406,20170406,19,雨,湿潤
負傷,神戸市中央区,2017,0404,20170404,21,晴,乾燥
負傷,神戸市中央区,2017,0403,20170403,13,晴,乾燥
負傷,神戸市中央区,2017,0408,20170408,22,晴,湿潤
負傷,神戸市中央区,2017,0409,20170409,9,曇,乾燥
負傷,神戸市中央区,2017,0410,20170410,2,晴,乾燥
負傷,神戸市中央区,2017,0413,20170413,9,晴,乾燥
負傷,神戸市中央区,2017,0413,20170413,6,晴,乾燥
負傷,神戸市中央区,2017,0414,20170414,14,晴,乾燥
負傷,神戸市中央区,2017,0411,20170411,15,雨,湿潤
負傷,神戸市中央区,2017,0416,20170416,17,晴,乾燥
負傷,神戸市中央区,2017,0417,20170417,20,雨,湿潤
負傷,神戸市中央区,2017,0418,20170418,12,晴,乾燥
負傷,神戸市中央区,2017,0421,20170421,9,晴,乾燥
負傷,神戸市中央区,2017,0422,20170422,8,晴,乾燥
負傷,神戸市中央区,2017,0422,20170422,7,晴,乾燥
負傷,神戸市中央区,2017,0411,20170411,23,晴,乾燥
負傷,神戸市中央区,2017,0423,20170423,19,晴,乾燥
負傷,神戸市中央区,2017,0423,20170423,20,晴,乾燥
負傷,神戸市中央区,2017,0423,20170423,23,晴,乾燥
負傷,神戸市中央区,2017,0424,20170424,13,晴,乾燥
負傷,神戸市中央区,2017,0424,20170424,18,晴,乾燥
負傷,神戸市中央区,2017,0426,20170426,15,晴,乾燥
負傷,神戸市中央区,2017,0428,20170428,19,晴,乾燥
負傷,神戸市中央区,2017,0430,20170430,9,晴,乾燥
負傷,神戸市中央区,2017,0502,20170502,21,晴,乾燥
負傷,神戸市中央区,2017,0503,20170503,9,晴,乾燥
負傷,神戸市中央区,2017,0216,20170216,18,晴,乾燥
負傷,神戸市中央区,2017,0504,20170504,6,晴,乾燥
負傷,神戸市中央区,2017,0506,20170506,12,曇,湿潤
負傷,神戸市中央区,2017,0508,20170508,19,晴,乾燥
負傷,神戸市中央区,2017,0422,20170422,9,晴,乾燥
負傷,神戸市中央区,2017,0511,20170511,13,晴,乾燥
負傷,神戸市中央区,2017,0516,20170516,20,晴,乾燥
負傷,神戸市中央区,2017,0517,20170517,7,晴,乾燥
負傷,神戸市中央区,2017,0518,20170518,16,晴,乾燥
負傷,神戸市中央区,2017,0519,20170519,8,晴,乾燥
負傷,神戸市中央区,2017,0519,20170519,19,晴,乾燥
負傷,神戸市中央区,2016,1101,20161101,22,晴,乾燥
負傷,神戸市中央区,2016,1101,20161101,22,晴,乾燥
負傷,神戸市中央区,2017,0521,20170521,11,晴,乾燥
負傷,神戸市中央区,2017,0523,20170523,16,晴,乾燥
負傷,神戸市中央区,2017,0528,20170528,9,晴,乾燥
負傷,神戸市中央区,2017,0422,20170422,12,晴,乾燥
負傷,神戸市中央区,2017,0528,20170528,17,晴,乾燥
負傷,神戸市中央区,2017,0520,20170520,8,晴,乾燥
負傷,神戸市中央区,2017,0401,20170401,15,晴,乾燥
負傷,神戸市中央区,2017,0601,20170601,10,晴,乾燥
負傷,神戸市中央区,2017,0602,20170602,9,晴,乾燥
負傷,神戸市中央区,2017,0602,20170602,17,晴,乾燥
負傷,神戸市中央区,2017,0607,20170607,10,雨,湿潤
負傷,神戸市中央区,2017,0607,20170607,15,雨,湿潤
負傷,神戸市中央区,2017,0606,20170606,19,晴,乾燥
負傷,神戸市中央区,2017,0611,20170611,17,晴,乾燥
負傷,神戸市中央区,2017,0609,20170609,16,晴,乾燥
負傷,神戸市中央区,2017,0612,20170612,8,晴,乾燥
負傷,神戸市中央区,2017,0612,20170612,15,晴,乾燥
負傷,神戸市中央区,2017,0612,20170612,8,晴,乾燥
負傷,神戸市中央区,2017,0614,20170614,22,晴,乾燥
負傷,神戸市中央区,2017,0615,20170615,8,晴,乾燥
負傷,神戸市中央区,2017,0617,20170617,12,晴,乾燥
負傷,神戸市中央区,2017,0617,20170617,10,晴,乾燥
負傷,神戸市中央区,2017,0608,20170608,16,晴,乾燥
負傷,神戸市中央区,2017,0618,20170618,16,晴,乾燥
負傷,神戸市中央区,2017,0619,20170619,8,晴,乾燥
負傷,神戸市中央区,2017,0530,20170530,15,曇,乾燥
負傷,神戸市中央区,2017,0531,20170531,13,晴,乾燥
負傷,神戸市中央区,2017,0611,20170611,20,晴,乾燥
負傷,神戸市中央区,2017,0621,20170621,19,晴,乾燥
負傷,神戸市中央区,2017,0622,20170622,9,晴,乾燥
負傷,神戸市中央区,2017,0622,20170622,20,晴,乾燥
負傷,神戸市中央区,2017,0623,20170623,8,晴,乾燥
負傷,神戸市中央区,2017,0623,20170623,11,晴,乾燥
負傷,神戸市中央区,2017,0609,20170609,17,晴,乾燥
負傷,神戸市中央区,2017,0610,20170610,14,晴,乾燥
負傷,神戸市中央区,2017,0603,20170603,0,晴,乾燥
負傷,神戸市中央区,2017,0608,20170608,20,晴,乾燥
負傷,神戸市中央区,2017,0625,20170625,11,雨,湿潤
負傷,神戸市中央区,2017,0626,20170626,10,晴,乾燥
負傷,神戸市中央区,2017,0626,20170626,16,晴,乾燥
負傷,神戸市中央区,2017,0627,20170627,9,晴,乾燥
負傷,神戸市中央区,2017,0627,20170627,20,雨,湿潤
負傷,神戸市中央区,2017,0628,20170628,4,晴,湿潤
負傷,神戸市中央区,2017,0628,20170628,19,晴,乾燥
負傷,神戸市中央区,2017,0628,20170628,20,晴,乾燥
負傷,神戸市中央区,2017,0621,20170621,16,晴,乾燥
負傷,神戸市中央区,2017,0701,20170701,10,晴,乾燥
負傷,神戸市中央区,2017,0703,20170703,8,晴,乾燥
負傷,神戸市中央区,2017,0611,20170611,14,曇,乾燥
負傷,神戸市中央区,2017,0701,20170701,5,曇,乾燥
負傷,神戸市中央区,2017,0704,20170704,11,雨,湿潤
負傷,神戸市中央区,2017,0705,20170705,10,雨,湿潤
負傷,神戸市中央区,2017,0705,20170705,20,曇,乾燥
負傷,神戸市中央区,2017,0706,20170706,9,晴,乾燥
負傷,神戸市中央区,2017,0708,20170708,15,晴,乾燥
負傷,神戸市中央区,2017,0710,20170710,9,晴,乾燥
負傷,神戸市中央区,2017,0712,20170712,18,晴,乾燥
負傷,神戸市中央区,2017,0310,20170310,16,晴,乾燥
負傷,神戸市中央区,2017,0711,20170711,13,晴,乾燥
負傷,神戸市中央区,2017,0714,20170714,17,晴,乾燥
負傷,神戸市中央区,2017,0716,20170716,19,晴,乾燥
負傷,神戸市中央区,2017,0717,20170717,16,晴,乾燥
負傷,神戸市中央区,2017,0717,20170717,20,晴,乾燥
負傷,神戸市中央区,2017,0720,20170720,14,晴,乾燥
負傷,神戸市中央区,2017,0720,20170720,18,晴,乾燥
負傷,神戸市中央区,2017,0721,20170721,8,晴,乾燥
負傷,神戸市中央区,2017,0718,20170718,11,雨,湿潤
負傷,神戸市中央区,2017,0724,20170724,9,晴,乾燥
負傷,神戸市中央区,2017,0724,20170724,11,晴,乾燥
負傷,神戸市中央区,2017,0727,20170727,0,晴,乾燥
負傷,神戸市中央区,2017,0727,20170727,8,晴,乾燥
負傷,神戸市中央区,2017,0728,20170728,15,晴,乾燥
負傷,神戸市中央区,2017,0728,20170728,14,晴,乾燥
負傷,神戸市中央区,2017,0729,20170729,10,晴,乾燥
負傷,神戸市中央区,2017,0729,20170729,16,晴,乾燥
負傷,神戸市中央区,2017,0731,20170731,9,晴,乾燥
負傷,神戸市中央区,2017,0731,20170731,21,晴,乾燥
負傷,神戸市中央区,2017,0801,20170801,17,晴,乾燥
負傷,神戸市中央区,2017,0801,20170801,16,晴,乾燥
負傷,神戸市中央区,2017,0804,20170804,9,晴,乾燥
負傷,神戸市中央区,2017,0804,20170804,16,雨,湿潤
負傷,神戸市中央区,2017,0807,20170807,18,雨,湿潤
負傷,神戸市中央区,2017,0807,20170807,18,雨,湿潤
負傷,神戸市中央区,2017,0809,20170809,13,晴,乾燥
負傷,神戸市中央区,2017,0809,20170809,17,晴,乾燥
負傷,神戸市中央区,2017,0813,20170813,11,晴,乾燥
負傷,神戸市中央区,2017,0817,20170817,10,晴,乾燥
負傷,神戸市中央区,2017,0817,20170817,12,晴,乾燥
負傷,神戸市中央区,2017,0720,20170720,12,晴,乾燥
負傷,神戸市中央区,2017,0819,20170819,16,晴,乾燥
負傷,神戸市中央区,2017,0821,20170821,10,晴,乾燥
負傷,神戸市中央区,2017,0823,20170823,12,晴,乾燥
負傷,神戸市中央区,2017,0820,20170820,9,晴,乾燥
負傷,神戸市中央区,2017,0726,20170726,9,曇,乾燥
負傷,神戸市中央区,2017,0824,20170824,16,晴,乾燥
負傷,神戸市中央区,2017,0824,20170824,16,晴,乾燥
負傷,神戸市中央区,2017,0824,20170824,17,晴,乾燥
負傷,神戸市中央区,2017,0828,20170828,8,晴,乾燥
負傷,神戸市中央区,2017,0829,20170829,8,晴,乾燥
負傷,神戸市中央区,2017,0829,20170829,21,晴,乾燥
負傷,神戸市中央区,2017,0830,20170830,6,晴,乾燥
負傷,神戸市中央区,2017,0830,20170830,6,晴,乾燥
負傷,神戸市中央区,2017,0830,20170830,8,晴,乾燥
負傷,神戸市中央区,2017,0831,20170831,13,晴,乾燥
負傷,神戸市中央区,2017,0831,20170831,19,晴,乾燥
負傷,神戸市中央区,2017,0901,20170901,13,晴,乾燥
負傷,神戸市中央区,2017,0902,20170902,9,晴,乾燥
負傷,神戸市中央区,2017,0903,20170903,8,晴,乾燥
負傷,神戸市中央区,2017,0903,20170903,17,晴,乾燥
負傷,神戸市中央区,2017,0904,20170904,11,晴,乾燥
負傷,神戸市中央区,2017,0906,20170906,11,曇,湿潤
負傷,神戸市中央区,2017,0906,20170906,8,晴,湿潤
負傷,神戸市中央区,2017,0809,20170809,15,晴,乾燥
負傷,神戸市中央区,2017,0907,20170907,14,雨,湿潤
負傷,神戸市中央区,2017,0907,20170907,17,曇,乾燥
負傷,神戸市中央区,2017,0908,20170908,11,晴,乾燥
負傷,神戸市中央区,2017,0908,20170908,23,晴,乾燥
負傷,神戸市中央区,2017,0910,20170910,9,晴,乾燥
負傷,神戸市中央区,2017,0910,20170910,21,晴,乾燥
負傷,神戸市中央区,2017,0912,20170912,9,晴,湿潤
負傷,神戸市中央区,2017,0912,20170912,18,晴,乾燥
負傷,神戸市中央区,2017,0913,20170913,17,晴,乾燥
負傷,神戸市中央区,2017,0913,20170913,16,晴,乾燥
負傷,神戸市中央区,2017,0914,20170914,18,晴,乾燥
負傷,神戸市中央区,2017,0909,20170909,14,晴,乾燥
負傷,神戸市中央区,2017,0915,20170915,16,晴,乾燥
負傷,神戸市中央区,2017,0915,20170915,18,晴,乾燥
負傷,神戸市中央区,2017,0916,20170916,14,雨,湿潤
負傷,神戸市中央区,2017,0905,20170905,16,晴,乾燥
負傷,神戸市中央区,2017,0910,20170910,8,晴,乾燥
負傷,神戸市中央区,2017,0913,20170913,15,晴,乾燥
負傷,神戸市中央区,2017,0918,20170918,9,晴,乾燥
負傷,神戸市中央区,2017,0918,20170918,8,晴,乾燥
負傷,神戸市中央区,2017,0919,20170919,1,晴,乾燥
負傷,神戸市中央区,2017,0920,20170920,12,晴,乾燥
負傷,神戸市中央区,2017,0914,20170914,21,晴,乾燥
負傷,神戸市中央区,2017,0920,20170920,21,曇,乾燥
負傷,神戸市中央区,2017,0921,20170921,1,曇,乾燥
負傷,神戸市中央区,2017,0921,20170921,8,晴,乾燥
負傷,神戸市中央区,2017,0921,20170921,9,晴,乾燥
負傷,神戸市中央区,2017,0923,20170923,8,晴,乾燥
負傷,神戸市中央区,2017,0923,20170923,15,晴,乾燥
負傷,神戸市中央区,2017,0924,20170924,15,晴,乾燥
負傷,神戸市中央区,2017,0926,20170926,12,晴,乾燥
負傷,神戸市中央区,2017,0926,20170926,15,晴,乾燥
負傷,神戸市中央区,2017,0927,20170927,11,曇,乾燥
負傷,神戸市中央区,2017,0928,20170928,8,曇,乾燥
負傷,神戸市中央区,2017,0929,20170929,11,晴,乾燥
負傷,神戸市中央区,2017,0804,20170804,17,晴,乾燥
負傷,神戸市中央区,2017,0929,20170929,22,晴,乾燥
負傷,神戸市中央区,2017,0930,20170930,15,晴,乾燥
負傷,神戸市中央区,2017,1001,20171001,4,晴,乾燥
負傷,神戸市中央区,2017,1001,20171001,8,晴,乾燥
負傷,神戸市中央区,2017,1001,20171001,14,晴,乾燥
負傷,神戸市中央区,2017,1002,20171002,10,雨,湿潤
負傷,神戸市中央区,2017,1004,20171004,8,晴,乾燥
負傷,神戸市中央区,2017,1005,20171005,13,晴,乾燥
負傷,神戸市中央区,2017,1005,20171005,18,晴,乾燥
負傷,神戸市中央区,2017,1005,20171005,18,晴,乾燥
負傷,神戸市中央区,2017,1006,20171006,5,晴,乾燥
負傷,神戸市中央区,2017,1007,20171007,10,雨,湿潤
負傷,神戸市中央区,2017,1008,20171008,9,晴,乾燥
負傷,神戸市中央区,2017,1008,20171008,18,晴,乾燥
負傷,神戸市中央区,2017,1009,20171009,11,晴,乾燥
負傷,神戸市中央区,2017,1010,20171010,7,晴,乾燥
負傷,神戸市中央区,2017,1010,20171010,15,晴,乾燥
負傷,神戸市中央区,2017,1009,20171009,22,晴,乾燥
負傷,神戸市中央区,2017,1011,20171011,9,晴,乾燥
負傷,神戸市中央区,2017,1012,20171012,9,曇,乾燥
負傷,神戸市中央区,2017,1013,20171013,7,曇,乾燥
負傷,神戸市中央区,2017,1013,20171013,12,雨,湿潤
負傷,神戸市中央区,2017,1013,20171013,13,晴,湿潤
負傷,神戸市中央区,2017,1015,20171015,17,雨,湿潤
死亡,神戸市中央区,2017,1016,20171016,14,雨,湿潤
負傷,神戸市中央区,2017,1017,20171017,9,雨,湿潤
負傷,神戸市中央区,2017,1018,20171018,13,曇,乾燥
負傷,神戸市中央区,2017,1020,20171020,11,曇,湿潤
負傷,神戸市中央区,2017,1020,20171020,15,曇,湿潤
負傷,神戸市中央区,2017,1021,20171021,14,雨,湿潤
負傷,神戸市中央区,2017,1022,20171022,21,雨,湿潤
負傷,神戸市中央区,2017,1023,20171023,18,晴,乾燥
負傷,神戸市中央区,2017,1024,20171024,11,晴,乾燥
負傷,神戸市中央区,2017,1024,20171024,11,晴,乾燥
負傷,神戸市中央区,2017,1024,20171024,19,曇,乾燥
負傷,神戸市中央区,2017,1024,20171024,19,曇,湿潤
負傷,神戸市中央区,2017,1027,20171027,11,晴,乾燥
負傷,神戸市中央区,2017,1029,20171029,20,曇,湿潤
負傷,神戸市中央区,2017,1030,20171030,8,晴,乾燥
負傷,神戸市中央区,2017,1031,20171031,6,晴,乾燥
負傷,神戸市中央区,2017,1031,20171031,11,晴,乾燥
負傷,神戸市中央区,2017,1027,20171027,18,晴,乾燥
負傷,神戸市中央区,2017,1031,20171031,19,晴,乾燥
負傷,神戸市中央区,2017,1031,20171031,18,晴,乾燥
負傷,神戸市中央区,2017,1101,20171101,10,晴,乾燥
負傷,神戸市中央区,2017,1101,20171101,17,晴,乾燥
負傷,神戸市中央区,2017,1102,20171102,17,晴,乾燥
負傷,神戸市中央区,2017,1028,20171028,6,雨,湿潤
負傷,神戸市中央区,2017,1104,20171104,15,晴,乾燥
負傷,神戸市中央区,2017,1105,20171105,10,晴,乾燥
負傷,神戸市中央区,2017,1106,20171106,11,晴,乾燥
負傷,神戸市中央区,2017,1107,20171107,10,晴,乾燥
負傷,神戸市中央区,2017,1107,20171107,13,晴,乾燥
負傷,神戸市中央区,2017,1108,20171108,10,雨,湿潤
負傷,神戸市中央区,2017,1108,20171108,14,雨,湿潤
負傷,神戸市中央区,2017,1109,20171109,17,晴,乾燥
負傷,神戸市中央区,2017,1110,20171110,14,晴,乾燥
負傷,神戸市中央区,2017,1111,20171111,15,曇,乾燥
負傷,神戸市中央区,2017,1115,20171115,16,晴,乾燥
負傷,神戸市中央区,2017,1115,20171115,16,晴,乾燥
負傷,神戸市中央区,2017,1110,20171110,13,晴,乾燥
負傷,神戸市中央区,2017,1116,20171116,11,晴,乾燥
死亡,神戸市中央区,2017,1117,20171117,11,晴,乾燥
負傷,神戸市中央区,2017,1117,20171117,16,晴,乾燥
負傷,神戸市中央区,2017,1118,20171118,11,曇,湿潤
負傷,神戸市中央区,2017,1102,20171102,10,晴,乾燥
負傷,神戸市中央区,2017,1122,20171122,22,晴,湿潤
負傷,神戸市中央区,2017,1124,20171124,10,晴,乾燥
負傷,神戸市中央区,2017,1126,20171126,5,晴,乾燥
負傷,神戸市中央区,2017,1125,20171125,16,晴,乾燥
負傷,神戸市中央区,2017,1126,20171126,13,曇,乾燥
負傷,神戸市中央区,2017,1127,20171127,12,晴,乾燥
負傷,神戸市中央区,2017,1128,20171128,20,晴,乾燥
負傷,神戸市中央区,2017,1125,20171125,11,晴,湿潤
負傷,神戸市中央区,2017,1129,20171129,22,曇,湿潤
負傷,神戸市中央区,2017,1201,20171201,11,晴,乾燥
負傷,神戸市中央区,2017,1202,20171202,18,晴,乾燥
負傷,神戸市中央区,2017,1202,20171202,17,晴,乾燥
負傷,神戸市中央区,2017,1202,20171202,17,晴,乾燥
負傷,神戸市中央区,2017,1204,20171204,15,雨,湿潤
負傷,神戸市中央区,2017,1204,20171204,18,曇,湿潤
負傷,神戸市中央区,2017,1206,20171206,18,晴,乾燥
負傷,神戸市中央区,2017,1206,20171206,20,晴,乾燥
負傷,神戸市中央区,2017,1208,20171208,16,曇,乾燥
負傷,神戸市中央区,2017,1202,20171202,8,晴,乾燥
負傷,神戸市中央区,2017,1210,20171210,8,晴,乾燥
負傷,神戸市中央区,2017,1205,20171205,19,晴,乾燥
負傷,神戸市中央区,2017,1211,20171211,6,晴,乾燥
負傷,神戸市中央区,2017,1211,20171211,13,曇,乾燥
負傷,神戸市中央区,2017,1211,20171211,16,曇,乾燥
負傷,神戸市中央区,2017,1211,20171211,16,曇,乾燥
負傷,神戸市中央区,2017,1214,20171214,16,晴,乾燥
